imagename box_x1 box_y1 box_x2 box_y2
000032 1 80 209 118
000032 1 78 282 180
000033 1 1 500 366
000117 1 162 500 333
000228 147 97 321 235
000256 1 130 500 272
000268 1 223 418 326
000268 190 203 500 275
000325 1 60 500 232
000431 167 241 500 375
000480 313 110 500 243
000480 63 97 242 222
000552 91 76 487 209
000610 41 82 458 305
000610 50 85 254 178
000647 187 131 438 234
000648 326 83 500 190
000657 176 139 321 218
000730 1 174 500 304
000738 1 154 500 332
000763 1 58 500 195
000815 80 164 320 242
000845 8 111 493 326
000872 154 197 362 251
000872 1 180 362 307
000887 1 154 179 240
000887 1 53 463 268
000896 1 213 500 320
000908 1 58 500 375
000934 11 56 500 294
000936 192 218 306 257
000982 155 23 424 362
001012 63 145 250 257
001102 344 1 500 133
001102 35 1 283 127
001102 96 56 207 124
001102 134 1 500 227
001107 1 135 500 279
001144 1 110 500 333
001160 149 115 268 252
001160 219 97 268 144
001230 137 1 451 333
001270 85 152 487 346
001277 1 120 360 299
001288 1 140 299 285
001332 1 12 136 167
001400 145 176 375 354
001400 199 228 279 314
001400 121 237 244 350
001436 1 1 500 191
001545 128 178 500 275
001557 1 18 500 139
001638 175 81 500 333
001708 1 179 500 327
001761 1 177 314 296
001842 54 129 500 280
001858 1 151 500 333
001870 197 276 400 400
001870 1 181 353 346
001911 225 81 500 333
001922 1 159 240 259
001922 296 105 500 269
001936 167 14 500 333
002001 272 64 310 95
002099 93 154 500 308
002129 1 225 301 379
002255 81 143 320 273
002266 1 195 259 300
002279 111 1 500 333
002348 1 171 164 308
002354 67 177 500 319
002376 1 124 500 333
002439 1 73 388 264
002472 1 113 500 254
002472 182 169 383 234
002513 96 209 201 349
002513 152 370 175 375
002513 218 165 253 213
002737 204 129 346 198
002765 1 116 118 176
002847 1 150 500 333
002869 1 130 500 254
002873 1 48 112 97
002873 346 135 500 226
002942 166 156 309 221
003000 191 128 244 168
003000 191 95 320 168
003028 1 1 500 334
003032 1 65 336 284
003032 174 63 480 240
003133 1 1 500 333
003183 124 109 293 288
003200 1 65 500 379
003200 199 203 339 274
003229 1 112 500 375
003233 20 174 235 287
003233 3 138 483 253
003299 1 12 500 335
003365 70 81 500 243
003369 1 113 500 375
003386 56 1 500 281
003455 1 41 130 135
003455 161 67 474 264
003493 141 183 437 235
003554 1 125 500 333
003667 19 25 418 446
003773 1 181 500 333
003876 80 96 138 145
003886 1 122 500 332
003993 1 88 500 333
004009 1 1 500 366
004052 26 122 500 317
004135 156 112 465 232
004196 1 1 220 336
004224 225 154 500 297
004286 1 96 500 333
004351 97 53 187 98
004379 152 171 307 292
004390 1 110 500 333
004391 1 129 424 224
004396 144 185 400 256
004452 305 178 500 375
004459 122 1 500 335
004470 111 108 500 375
004555 141 192 331 258
004570 197 67 500 227
004606 312 252 354 321
004606 331 174 500 375
004606 331 300 432 375
004643 1 107 454 313
004674 1 35 222 184
004748 1 274 235 375
004748 1 231 118 345
004812 14 1 500 192
004841 107 192 178 257
004896 1 113 326 257
004905 1 28 197 288
004982 1 125 500 333
005016 1 47 500 274
005079 1 176 232 375
005108 1 1 500 281
