imagename box_x1 box_y1 box_x2 box_y2
000016 125 110 285 451
000016 211 10 334 500
000023 1 144 152 498
000023 1 288 56 500
000030 7 194 172 291
000125 313 224 500 289
000129 166 232 242 500
000305 1 291 304 500
000337 71 170 270 350
000337 295 202 500 375
000337 324 265 404 375
000379 1 100 500 375
000380 19 172 78 320
000477 36 113 197 333
000477 1 1 500 331
000477 269 106 482 263
000500 186 81 362 375
000515 1 212 368 375
000535 1 131 287 272
000565 220 193 429 337
000637 1 93 500 375
000671 46 352 230 470
000690 1 189 185 341
000690 156 251 247 342
000755 366 194 500 236
000770 242 288 400 371
000770 1 133 85 279
000770 285 181 500 375
000770 1 254 399 375
000793 154 189 252 274
000802 1 199 90 290
000812 111 151 293 333
000816 124 339 269 476
000816 73 137 150 314
000816 1 301 217 456
000816 340 276 500 500
000829 46 1 223 79
000878 129 195 301 333
000885 171 125 361 273
000885 8 338 348 456
000911 385 214 447 280
000949 1 172 227 454
000973 1 52 486 331
001027 288 48 441 375
001027 167 176 354 375
001050 145 131 500 375
001050 349 27 500 244
001060 1 108 182 311
001184 81 286 210 355
001186 1 156 256 351
001194 132 224 280 324
001215 1 73 500 375
001224 301 173 428 297
001259 69 152 257 303
001304 103 166 203 314
001309 171 243 348 500
001309 167 280 215 500
001309 198 68 242 132
001311 1 196 230 319
001427 160 205 263 344
001455 134 214 342 371
001460 1 32 324 272
001501 329 198 366 255
001539 107 170 361 366
001553 219 137 292 188
001579 112 291 315 439
001603 315 136 420 224
001622 68 218 166 317
001630 1 57 293 389
001636 59 127 123 215
001654 179 187 500 323
001726 370 206 500 262
001726 327 167 446 260
001833 107 174 252 375
001861 5 89 500 363
001903 94 196 165 309
002064 193 21 480 375
002069 299 217 371 337
002171 64 270 183 412
002253 1 1 114 269
002257 224 232 300 348
002270 68 89 500 375
002337 156 141 298 281
002371 1 1 500 357
002377 1 132 309 375
002460 221 203 356 361
002508 70 61 328 291
002512 1 196 98 262
002512 1 265 161 375
002523 38 155 465 366
002540 179 202 276 272
002558 101 136 219 292
002675 162 143 354 265
002715 108 317 226 375
002722 75 75 358 240
002727 219 211 342 333
002751 167 182 318 302
002912 90 236 219 354
002912 163 162 375 306
002956 253 173 477 332
002992 1 141 274 427
003024 409 98 500 180
003047 277 90 354 170
003102 88 159 202 407
003102 190 194 333 475
003102 146 269 255 458
003142 1 1 369 346
003175 1 216 333 500
003175 238 319 333 396
003188 46 155 122 294
003218 177 172 230 274
003240 55 335 113 414
003395 126 229 318 486
003433 40 160 250 473
003468 208 290 369 357
003469 148 141 224 240
003469 73 149 284 375
003511 1 41 500 332
003549 1 40 177 208
003589 98 163 342 326
003599 178 1 389 310
003621 201 194 318 270
003658 17 186 242 340
003717 116 130 271 309
003784 20 259 308 424
003827 271 105 359 186
003855 149 163 234 223
003945 201 180 305 269
004057 62 65 348 307
004082 169 222 257 328
004082 1 1 259 375
004136 234 144 403 367
004140 1 1 393 375
004356 241 153 325 236
004356 194 181 288 232
004359 151 177 224 333
004429 60 33 199 129
004430 118 1 500 234
004430 73 1 232 298
004509 54 217 333 481
004605 1 151 492 333
004622 165 119 239 230
004622 39 162 297 338
004622 172 111 375 286
004672 137 93 354 285
004673 41 253 122 333
004676 206 223 317 319
004706 184 168 500 357
004761 115 232 210 329
004761 167 134 375 495
004782 1 110 258 265
004782 171 187 440 282
004797 129 125 500 213
004879 1 1 329 214
004912 1 1 500 303
004936 1 137 484 375
004953 140 229 219 314
004983 103 134 338 500
005029 410 85 490 152
005042 1 172 227 454
005057 145 114 378 311
005064 253 176 347 292
005107 58 211 138 336
005122 31 249 299 375
005146 119 128 239 280
005150 292 215 443 287
005230 132 218 208 284
005230 309 211 372 290
005268 318 129 496 242
005268 1 1 500 270
005268 141 177 201 242
005273 1 187 141 318
005281 84 222 177 363
005315 270 77 430 175
005315 335 48 478 113
005315 219 1 500 329
005315 209 201 275 279
005344 39 170 302 500
005368 83 368 231 500
005368 68 99 291 500
005410 294 179 362 333
005410 268 239 328 333
005410 268 159 492 333
005424 19 265 155 500
005424 1 38 204 272
005424 33 114 103 211
005429 160 170 253 217
005429 208 151 307 216
005430 125 140 298 265
005430 1 1 321 292
005507 116 192 174 216
005507 213 176 263 224
005554 199 180 299 322
005599 225 214 347 455
005599 151 247 232 433
005639 203 183 310 265
005639 201 183 249 237
005639 105 102 341 256
005652 157 183 238 302
005702 33 295 290 500
005757 146 240 402 333
005768 214 175 348 305
005923 248 211 384 318
005930 29 95 209 194
006028 432 12 477 77
006028 164 169 306 263
006146 191 196 287 296
006146 89 223 255 302
006146 302 202 378 281
006146 115 233 173 289
006188 210 105 302 246
006188 52 143 362 337
006188 55 262 177 337
006188 286 224 432 323
006206 113 209 337 353
006214 363 187 431 257
006221 203 93 417 207
006221 87 93 500 369
006300 1 141 77 203
006371 121 197 296 285
006387 198 151 253 224
006418 1 1 500 329
006418 335 134 500 311
006449 336 264 452 343
006515 181 44 500 341
006550 1 199 144 327
006551 229 186 353 316
006603 1 307 76 426
006632 210 281 279 315
006632 386 17 484 72
006637 356 255 477 375
006661 78 144 125 218
006664 1 172 218 364
006718 358 111 415 169
006718 94 192 203 255
006718 50 190 137 258
006738 202 162 310 335
006855 1 74 312 319
006880 172 35 500 375
006880 175 168 284 321
006880 322 107 470 198
006945 13 85 146 230
006950 81 242 333 418
006950 146 361 333 401
006950 62 208 209 332
006990 338 207 436 331
007004 1 214 324 375
007004 91 243 145 339
007029 277 157 457 305
007029 370 83 500 324
007062 11 42 426 318
007108 307 193 390 262
007140 54 212 203 406
007172 388 190 500 276
007244 1 261 185 375
007256 327 214 421 294
007283 24 125 179 222
007327 70 167 209 332
007327 87 209 156 267
007356 54 124 220 238
007446 45 246 215 500
007466 113 116 289 259
007466 103 159 152 232
007466 207 129 298 207
007466 238 117 363 230
007466 215 107 467 331
007543 62 163 206 309
007551 82 75 251 354
007571 133 188 266 320
007655 1 137 500 357
007656 12 280 297 425
007656 162 309 296 393
007679 122 241 247 362
007709 232 59 289 116
007709 69 166 260 232
007836 1 176 168 340
007854 12 359 292 485
007884 179 13 335 124
007925 1 116 500 375
007933 10 171 500 375
007933 260 1 500 340
007953 112 198 284 311
007953 249 230 333 315
007953 52 173 147 368
008023 182 1 488 78
008023 342 55 423 91
008023 380 10 500 96
008096 133 163 247 236
008180 1 324 293 500
008190 270 142 450 374
008253 332 1 500 136
008313 257 257 355 342
008433 272 158 375 346
008433 344 188 389 240
008433 1 15 294 166
008478 18 160 121 246
008514 346 57 429 200
008633 187 1 500 127
008633 214 1 306 79
008702 81 221 282 375
008741 135 1 209 85
008741 1 1 229 500
008741 219 278 278 389
008741 1 103 188 239
008742 177 426 256 468
008742 135 385 209 466
008757 1 129 404 288
008759 206 1 309 42
008759 189 259 272 375
008759 285 1 495 304
008759 147 91 298 375
008811 1 183 483 375
008811 404 255 480 322
008811 302 273 389 348
008831 337 289 468 402
008995 22 380 156 443
009005 196 166 275 297
009005 101 130 297 317
009036 279 242 493 405
009214 207 107 318 234
009250 128 184 375 500
009250 161 1 346 262
009250 73 1 248 389
009278 18 267 112 322
009278 383 86 500 360
