imagename box_x1 box_y1 box_x2 box_y2
000046 216 223 316 320
000048 100 72 194 172
000064 198 21 457 500
000109 227 76 265 179
000109 299 17 480 72
000141 301 119 456 285
000158 207 81 296 172
000158 209 81 260 127
000189 229 42 459 129
000236 79 172 262 296
000294 1 65 226 248
000294 197 49 399 256
000340 122 200 185 296
000340 351 261 397 301
000340 89 1 218 95
000363 38 16 179 131
000395 1 1 305 322
000424 59 94 150 230
000489 203 164 295 230
000508 46 106 129 211
000619 165 1 424 207
000645 1 102 374 375
000645 33 1 500 181
000680 178 98 326 203
000682 191 121 358 264
000714 239 85 440 148
000731 157 233 206 288
000731 124 179 329 500
000731 196 74 241 129
000731 93 334 178 419
000796 168 125 416 315
000832 70 98 163 208
000850 234 71 352 175
000880 295 1 370 65
000917 41 50 212 208
000954 295 130 386 174
000954 258 131 366 236
000954 1 86 325 185
000964 171 87 246 136
000980 228 1 500 272
001004 216 215 353 320
001015 241 1 262 6
001041 61 120 236 375
001061 1 76 99 261
001074 208 46 348 168
001207 204 79 500 288
001250 172 96 256 179
001260 103 28 500 136
001260 133 31 258 126
001273 57 118 368 321
001289 147 93 435 203
001341 137 64 420 270
001348 259 109 368 176
001348 204 45 295 167
001361 200 124 443 239
001375 162 86 422 315
001378 142 142 383 392
001413 389 166 500 272
001453 75 1 497 279
001512 52 17 371 218
001528 96 77 292 308
001597 241 113 351 219
001647 1 229 217 386
001684 350 29 462 237
001685 188 1 476 345
001707 104 128 356 374
001739 61 160 238 402
001782 63 1 500 306
001787 100 229 239 375
001818 260 101 500 332
001853 185 58 352 208
001855 309 202 431 336
001860 136 41 223 98
001896 281 54 341 111
001896 265 54 385 161
001915 208 163 273 228
001952 232 27 474 371
001964 367 51 417 90
002020 171 1 448 309
002037 252 74 340 112
002051 10 18 72 104
002051 1 1 220 145
002094 229 45 279 161
002102 42 52 349 223
002120 216 32 341 107
002120 359 69 500 335
002120 95 75 418 304
002136 77 75 314 221
002158 193 145 314 234
002158 1 163 81 224
002165 14 14 206 483
002212 128 74 463 214
002265 64 207 278 305
002276 93 59 299 192
002310 202 29 285 127
002333 142 129 245 226
002468 117 175 174 245
002468 1 238 62 358
002547 151 116 319 249
002571 1 123 263 241
002579 87 81 301 431
