imagename box_x1 box_y1 box_x2 box_y2
000061 17 1 500 333
000073 1 1 375 121
000130 305 122 500 222
000130 1 1 500 375
000154 1 95 500 333
000184 1 50 356 375
000184 145 109 306 224
000232 1 1 272 125
000241 219 121 500 351
000296 1 176 111 307
000370 1 138 500 341
000382 102 313 139 369
000382 11 125 375 500
000474 1 1 500 159
000474 327 227 403 246
000513 1 128 334 333
000513 249 103 500 226
000513 1 124 289 189
000519 1 106 500 375
000563 1 118 500 375
000608 51 107 262 188
000713 118 10 493 245
000713 204 110 357 171
000713 83 133 196 165
000740 128 224 235 277
000740 1 220 500 375
000742 1 167 303 338
000826 1 370 374 478
000862 295 58 500 232
000906 239 62 350 117
000906 357 1 500 136
000931 1 228 199 375
001002 1 226 375 484
001121 258 401 375 500
001136 1 236 500 500
001176 98 286 287 352
001205 386 196 486 322
001205 221 78 303 182
001205 10 14 299 248
001247 234 94 500 231
001298 205 104 323 208
001325 33 133 252 247
001463 1 300 500 375
001481 1 1 500 375
001484 1 3 310 195
001484 204 49 420 243
001497 210 105 500 329
001732 383 176 500 332
001847 305 169 467 320
001887 24 41 273 55
001887 160 134 341 223
001887 1 197 214 347
001976 1 1 287 383
002000 102 216 500 300
002039 1 1 321 332
002091 281 178 500 292
002091 1 1 500 375
002208 1 45 147 114
002208 1 33 286 154
002234 112 141 500 375
002288 1 132 500 332
002302 1 62 412 363
002372 1 223 400 500
002392 1 1 500 279
002403 298 1 500 176
002435 1 179 500 365
002465 1 272 500 375
002465 375 130 500 212
002479 1 228 382 368
002500 43 374 375 500
002605 248 214 305 246
002653 159 13 500 375
002659 1 270 281 375
002738 1 77 113 281
002738 295 116 395 169
002738 1 98 189 173
002738 338 162 500 258
002838 326 149 500 248
003008 133 91 307 182
003008 213 133 263 146
003065 267 208 468 333
003098 1 55 131 346
003223 96 97 252 207
003223 4 1 375 74
003223 1 102 173 287
003284 261 39 500 207
003337 51 141 130 242
003404 122 1 343 204
003413 308 242 500 375
003639 1 102 450 375
003657 1 90 500 344
003669 1 67 500 375
003722 174 181 484 291
003797 1 117 188 414
003811 53 80 500 313
003860 1 1 500 189
003861 1 1 343 334
003863 1 91 223 194
003919 1 157 246 320
003919 268 182 425 268
003919 140 24 276 91
003974 1 47 295 299
004170 27 180 500 335
004194 190 344 400 500
004241 1 151 500 375
004246 389 158 500 275
004258 299 1 491 116
004325 179 145 390 325
004371 1 144 500 374
004387 280 16 401 52
004464 222 1 500 151
004464 230 52 398 90
004498 1 251 332 380
004532 245 164 500 260
004592 1 21 258 375
004651 102 235 308 375
004839 1 239 332 414
004885 1 179 138 375
004931 164 194 269 276
004958 1 247 500 333
005073 342 1 500 362
005108 1 52 500 281
005128 1 106 500 361
005150 1 1 401 400
005171 1 194 500 313
005181 238 260 298 372
005217 369 200 500 335
005217 41 193 331 312
005257 1 107 288 283
005320 1 1 500 250
005325 1 226 500 375
005337 1 50 389 223
005340 1 19 446 172
005358 243 319 330 354
005358 1 243 380 369
005369 1 1 500 375
005370 1 83 500 241
005413 1 234 96 322
005420 235 251 403 353
005431 1 1 500 375
005496 376 187 490 332
005614 311 192 417 235
005699 156 218 500 375
005705 1 294 311 500
005713 389 221 500 317
005713 149 277 247 320
005713 1 234 288 320
005714 128 217 354 282
005742 343 187 500 259
005825 342 88 489 227
005860 1 105 500 333
005914 258 1 500 375
006046 1 105 216 304
006079 91 126 364 231
006079 258 133 500 350
006098 47 132 375 410
006123 406 109 500 300
006215 1 368 229 492
006281 320 218 500 328
006304 1 170 500 333
006357 1 171 55 197
006357 132 358 181 382
006436 1 213 422 375
006542 349 23 500 112
006549 176 19 245 106
006660 165 1 500 326
006673 1 114 189 217
006773 1 253 354 375
006867 54 1 162 221
006874 1 70 500 104
006874 361 33 500 97
006953 170 164 313 241
006953 133 122 500 375
006965 1 1 305 271
006983 325 200 390 242
006983 134 155 222 189
006983 223 171 406 333
007052 352 146 500 375
007125 1 275 230 370
007125 1 13 250 332
007139 1 49 500 169
007139 200 107 423 190
007289 259 22 399 98
007289 1 1 325 123
007289 420 19 500 104
007289 134 70 500 279
007361 212 48 351 119
007361 186 48 500 279
007365 1 1 118 332
007449 1 129 500 256
007460 36 380 333 500
007477 135 1 403 208
007521 1 86 320 293
007533 1 301 119 372
007685 1 62 500 375
007718 65 169 442 279
007718 1 1 500 375
007743 110 254 332 356
007803 1 164 380 335
007833 319 1 500 303
007980 1 159 330 329
008091 1 195 332 500
008112 1 1 500 298
008163 1 73 500 327
008166 34 1 500 201
008166 7 162 89 239
008251 1 31 393 223
008261 1 222 332 474
008306 345 1 500 143
008449 427 144 477 201
008449 274 1 329 42
008454 1 78 220 222
008456 305 46 500 306
008498 1 36 500 358
008498 1 248 162 358
008568 1 146 352 375
008584 10 12 332 301
008604 169 267 500 375
008604 216 39 486 138
008604 320 85 500 193
008645 216 155 500 314
008725 1 118 500 375
008730 177 146 500 337
008784 1 66 103 262
008884 213 143 344 241
008884 245 179 500 271
008900 175 21 352 96
008900 247 134 324 243
008900 62 20 221 94
008999 274 135 428 188
008999 63 145 301 236
008999 1 1 368 243
009131 309 183 371 224
009177 329 198 500 257
009347 1 135 322 334
009527 1 104 347 375
009533 118 124 323 214
009717 179 101 334 176
009836 200 146 500 290
009947 1 287 332 500
009955 228 213 400 308
