imagename box_x1 box_y1 box_x2 box_y2
000050 277 142 312 243
000170 27 102 136 173
000200 163 137 261 249
000222 219 215 247 263
000224 390 320 443 375
000224 346 267 500 375
000229 331 304 414 375
000229 295 15 334 97
000250 84 125 189 291
000269 314 1 380 27
000269 265 250 324 313
000269 92 1 237 46
000269 44 1 140 24
000344 1 1 363 416
000367 366 156 456 349
000381 96 65 192 204
000498 1 203 209 458
000531 340 163 500 308
000559 1 282 148 365
000564 1 108 77 148
000564 276 169 322 216
000684 81 336 253 402
000726 71 105 171 226
000753 187 114 289 170
000865 295 258 383 375
000929 250 88 303 182
000951 410 148 500 227
000999 154 315 302 436
001045 136 1 375 275
001185 408 113 500 256
001229 8 242 69 325
001229 227 139 302 185
001229 208 142 390 255
001272 138 84 254 205
001272 67 69 259 328
001292 291 1 379 214
001292 309 129 500 270
001346 307 97 361 210
001393 202 159 259 255
001408 1 284 235 500
001444 30 207 57 242
001444 1 207 62 275
001451 1 182 119 267
001451 53 211 214 280
001465 142 170 185 197
001465 158 136 192 263
001465 321 155 344 177
001465 159 139 186 183
001465 75 273 137 356
001490 278 101 323 169
001493 261 66 316 243
001493 236 123 470 335
001522 251 29 339 80
001537 81 1 150 208
001563 139 136 276 254
001580 137 244 196 332
001590 268 237 308 329
001673 283 1 500 189
001682 312 64 491 180
001754 126 463 207 500
001754 37 328 277 500
001756 218 364 342 452
001756 241 103 375 351
001777 398 81 500 204
001843 264 184 332 238
001963 1 274 85 375
001970 1 1 500 310
002030 277 262 407 375
002098 165 35 308 192
002098 15 92 235 253
002112 48 1 348 455
002112 1 350 321 500
002139 165 1 400 275
002139 232 280 400 451
002221 154 4 208 59
002226 426 187 481 252
002253 158 137 322 379
002253 257 1 309 56
002253 259 34 302 77
002287 265 107 343 257
002350 1 1 347 500
002404 355 78 410 177
002442 180 1 226 39
002442 200 411 291 481
002442 115 323 200 411
002444 1 227 152 375
002518 174 202 223 289
002545 132 45 263 210
002545 185 64 209 128
002545 153 96 375 358
002545 166 131 253 237
002572 92 149 171 205
002613 277 239 412 375
002641 267 158 500 375
002641 178 111 392 252
002641 73 175 139 308
002658 71 256 160 308
002745 171 113 375 500
002881 375 352 441 389
002931 274 325 355 375
002939 176 103 255 167
002939 13 199 72 249
002939 194 161 300 292
002941 281 54 500 190
002953 1 57 223 297
002965 332 163 411 269
003056 333 301 385 375
003056 253 249 337 349
003088 86 266 175 359
003108 396 299 470 375
003108 125 1 161 71
003108 269 91 308 119
003108 305 21 320 32
003122 1 89 103 147
003122 13 93 121 286
003149 101 193 192 291
003149 94 209 303 375
003159 254 236 295 291
003181 266 110 410 300
003185 418 217 500 313
003207 217 65 307 222
003219 81 147 158 249
003219 97 168 329 349
