imagename box_x1 box_y1 box_x2 box_y2
000132 1 69 274 358
000190 1 179 329 332
000207 1 90 222 399
000288 72 21 500 288
000477 3 104 75 155
000518 1 96 500 333
000648 1 54 500 279
000663 1 120 396 476
000748 1 74 500 292
000754 1 21 250 194
000768 1 74 500 375
000782 1 224 330 500
000782 1 252 149 434
000793 1 75 69 136
000829 231 198 478 284
000855 118 365 255 456
000911 1 1 406 324
000971 110 145 294 262
001124 124 142 308 225
001124 161 142 500 285
001152 91 64 448 336
001152 1 1 271 178
001385 208 118 349 204
001434 166 201 500 325
001445 160 1 500 312
001532 77 120 252 195
001532 98 166 229 207
001532 259 132 320 193
001595 1 100 279 281
001691 227 2 304 61
001691 93 1 276 90
001892 1 132 500 245
001902 223 85 500 368
001962 1 159 160 219
001962 337 208 412 254
001962 267 155 500 333
002024 63 73 500 317
002027 341 273 417 308
002027 307 274 372 297
002027 241 245 465 308
002056 1 1 375 500
002201 212 201 323 352
002201 1 210 282 362
002214 425 150 500 254
002256 345 197 500 375
002278 1 28 312 298
002374 99 147 197 259
002374 215 136 368 246
002490 1 71 228 375
002539 145 1 500 256
002539 1 1 209 333
002566 238 102 376 198
002699 1 10 500 275
002734 265 1 500 95
002776 389 164 500 228
002776 241 221 336 250
002783 270 267 473 375
002812 61 137 220 258
002816 1 32 500 335
002859 15 61 500 375
002867 47 89 126 376
002987 1 8 91 204
002987 1 1 293 334
002987 141 99 500 334
003021 31 45 500 343
003083 208 409 375 483
003137 131 45 271 276
003137 1 45 428 312
003154 1 1 500 375
003163 1 1 500 256
003195 248 151 315 256
003195 59 161 313 310
003195 21 200 75 237
003195 168 168 253 254
003228 1 57 320 203
003311 131 137 500 262
003407 388 173 500 216
003441 1 158 500 286
003576 1 11 500 215
003621 442 62 500 114
003635 1 68 500 375
003636 175 189 309 272
003636 1 172 256 314
003636 256 201 395 266
003636 171 161 243 242
003642 1 1 500 260
003711 165 114 500 348
003786 1 159 500 281
003835 1 186 288 332
003919 1 84 246 320
003966 1 1 160 126
003973 1 174 500 375
004073 1 95 284 278
004087 103 1 483 85
004120 1 1 500 301
004136 196 1 323 62
004136 143 1 218 39
004174 1 278 469 393
004174 1 281 124 393
004186 299 36 430 104
004186 1 120 135 206
004303 1 1 500 224
004387 23 151 311 234
004387 328 272 394 360
004387 1 184 126 230
004530 1 1 500 301
004544 1 1 500 334
004552 166 29 500 375
004581 1 1 420 157
004581 1 1 119 126
004630 68 1 500 219
004630 392 1 455 62
004630 1 1 214 120
004630 324 1 500 115
004648 315 162 456 220
004705 1 133 392 307
004719 1 121 122 227
004727 1 73 246 266
004910 121 154 333 411
004953 90 93 425 275
004953 277 155 339 191
005026 1 137 444 375
005068 1 379 181 484
005090 1 1 471 297
005262 21 92 446 252
005374 204 1 486 205
005387 1 173 500 316
005448 1 1 338 138
005448 1 63 56 142
005530 257 183 402 236
005530 214 181 310 235
005631 1 167 280 500
005658 257 247 375 374
005658 1 1 375 485
005669 189 86 500 210
005669 1 1 500 333
005669 248 173 331 199
005731 1 55 500 312
005906 1 1 500 282
005906 1 146 280 248
005911 1 1 500 299
005961 14 207 375 500
006018 314 133 500 278
006096 25 17 452 354
006218 1 31 500 238
006290 137 65 500 332
006330 99 281 197 338
006330 178 278 277 336
006330 75 237 346 353
006346 1 152 289 270
006352 1 1 500 202
006437 157 126 323 197
006501 1 1 316 211
006569 1 1 458 229
006759 105 74 500 375
006766 1 221 384 375
006821 221 145 283 236
006835 1 1 334 274
006835 109 220 241 375
007002 210 194 500 305
007003 218 213 337 305
007003 1 18 475 375
007074 1 1 500 375
007095 239 135 500 294
007144 1 1 500 269
007236 1 1 204 216
007236 181 147 321 278
007241 41 70 402 368
007271 1 109 302 345
007279 5 183 311 281
007298 1 1 269 257
007298 132 61 242 168
007298 144 1 362 141
007346 268 1 500 155
007346 248 43 385 137
007376 1 67 500 334
007398 1 1 500 160
007437 96 140 283 248
007480 142 1 462 284
007484 317 59 500 375
007546 1 55 500 241
007575 1 1 291 232
007633 1 1 500 329
007650 106 163 375 435
007736 21 144 267 220
007773 144 253 247 320
007855 1 30 500 375
007908 199 39 489 333
007920 1 280 233 428
008023 80 6 500 312
008044 261 120 500 238
008098 1 96 197 214
008125 117 63 271 400
008125 203 72 335 423
008125 1 245 261 317
008262 1 46 404 375
008293 70 1 333 435
008315 1 150 440 341
008338 17 1 500 137
008360 1 1 500 375
008387 194 62 261 110
008387 273 1 456 156
008387 1 1 500 215
008397 1 260 272 375
008494 56 113 234 221
008494 209 148 312 229
008503 35 86 238 375
008503 118 90 248 154
008503 1 93 185 173
008562 1 54 500 368
008680 263 165 371 252
008680 1 84 418 289
008680 1 198 181 250
008680 230 168 287 216
008702 35 43 487 375
008747 1 1 193 260
008771 1 83 377 194
008793 80 20 441 260
008838 1 141 321 321
008848 209 178 500 351
008883 175 208 500 289
008883 1 205 305 291
008911 176 79 336 254
008966 1 1 500 375
009015 253 180 364 246
009037 100 136 452 293
009059 1 26 500 252
009073 112 139 226 267
009105 1 1 500 375
009126 1 1 472 375
009161 1 122 247 378
009161 94 132 500 278
009163 168 70 500 188
009174 207 198 489 357
009174 226 74 500 256
009174 1 1 500 357
009179 275 247 352 298
009179 165 202 449 332
009283 253 142 438 335
009283 240 226 338 332
009315 1 107 274 214
009358 417 321 500 345
009386 1 1 500 375
009392 4 214 65 239
009392 391 190 500 331
009409 63 82 500 271
009409 167 155 263 212
009412 1 1 99 161
009627 1 1 467 317
009641 171 297 375 385
009678 1 1 358 371
009685 1 143 500 375
009734 129 1 500 331
009762 1 81 209 262
009764 199 192 398 259
009764 240 143 500 322
009822 375 198 500 302
009822 406 103 500 148
009832 285 13 500 375
009845 142 59 500 310
