imagename box_x1 box_y1 box_x2 box_y2
000007 151 52 500 333
000012 161 131 324 289
000012 134 1 500 333
000020 1 161 321 401
000026 1 106 333 273
000047 1 1 172 302
000047 325 1 500 208
000060 231 5 500 210
000083 124 1 500 246
000091 93 218 198 283
000131 1 40 500 304
000134 125 84 500 371
000142 80 87 500 280
000153 254 134 369 190
000156 399 79 493 140
000156 357 1 500 243
000159 1 12 500 333
000161 1 1 432 390
000169 1 1 406 252
000180 13 110 500 375
000210 1 1 500 374
000220 52 131 389 292
000221 70 171 500 254
000221 38 1 437 261
000221 321 168 428 198
000233 188 77 308 193
000233 1 1 153 110
000233 140 1 500 375
000233 185 15 324 119
000245 189 126 500 260
000251 86 444 291 500
000262 347 101 500 196
000263 1 144 375 417
000288 1 118 137 242
000288 1 1 233 300
000289 1 101 279 240
000296 1 145 207 249
000296 64 186 171 222
000302 278 196 500 343
000303 1 1 500 377
000311 53 79 500 375
000317 1 49 500 290
000318 345 85 439 158
000320 250 1 307 59
000320 57 77 375 500
000320 291 1 375 36
000329 264 191 351 251
000334 44 114 278 174
000338 108 77 301 177
000343 1 1 500 375
000355 1 1 500 333
000367 432 183 500 228
000373 1 333 297 450
000387 1 1 500 298
000396 1 142 500 267
000404 138 107 396 326
000406 40 238 166 340
000406 212 259 283 319
000420 77 6 322 346
000431 70 287 160 341
000431 167 297 500 375
000461 1 113 310 236
000463 103 20 369 175
000463 244 47 295 90
000469 1 1 500 319
000474 133 193 500 375
000477 3 104 75 155
000477 176 1 310 69
000494 1 1 375 500
000509 1 70 188 263
000509 280 1 500 329
000515 1 93 136 288
000522 1 93 500 375
000541 221 184 332 232
000541 1 192 285 333
000541 74 190 172 221
000541 275 1 500 333
000543 1 78 201 277
000545 275 82 317 129
000545 251 171 304 223
000545 216 83 271 144
000545 113 9 226 172
000554 268 58 435 120
000579 1 135 296 225
000590 208 123 420 320
000605 266 140 500 250
000605 346 168 432 194
000605 145 157 219 196
000620 116 206 281 310
000628 124 260 364 371
000648 1 187 326 283
000648 90 83 500 264
000653 164 107 444 261
000663 315 1 422 125
000663 92 190 422 500
000663 11 167 118 425
000672 329 113 500 375
000688 1 37 417 317
000700 1 240 415 333
000754 1 1 210 178
000776 1 1 500 200
000787 101 1 500 371
000800 242 164 324 204
000800 442 149 500 213
000818 1 1 195 73
000818 187 32 269 95
000823 1 157 316 274
000829 225 168 475 330
000829 286 212 441 287
000829 221 1 500 257
000829 385 165 500 375
000829 353 1 445 50
000855 145 397 253 462
000855 119 306 262 372
000855 65 394 124 440
000855 1 374 130 446
000855 179 342 253 397
000860 1 1 420 323
000871 122 137 500 275
000888 60 182 206 326
000906 143 118 500 375
000911 1 131 500 324
000911 1 158 112 288
000911 171 189 273 237
000911 49 191 253 299
000935 71 201 147 245
000937 1 57 500 375
000972 1 94 459 307
000977 142 210 364 333
000977 319 202 451 333
000987 113 1 450 376
000987 389 182 454 264
000987 171 186 351 378
000987 227 285 340 414
000987 77 143 172 300
000987 281 144 389 242
001052 127 103 399 279
001057 85 156 300 259
001057 63 1 395 335
001060 412 176 499 209
001069 332 49 406 147
001069 1 56 118 272
001069 1 130 114 182
001071 211 188 332 301
001093 1 1 500 400
001112 59 164 131 231
001112 437 139 477 164
001112 64 43 500 335
001112 220 242 440 335
001119 248 183 411 223
001124 155 135 423 227
001124 1 109 346 326
001124 168 122 254 213
001125 1 118 270 333
001148 152 167 274 230
001148 71 1 317 241
001148 210 69 500 375
001237 112 141 293 260
001258 16 91 211 298
001258 178 37 500 313
001268 1 72 296 247
001281 156 127 390 231
001290 25 164 464 316
001292 210 1 500 341
001294 327 155 410 208
001294 301 111 500 226
001330 106 158 339 312
001334 28 69 500 230
001352 51 124 218 227
001360 1 83 500 326
001364 25 65 500 333
001371 245 210 367 260
001371 182 175 500 282
001384 179 102 406 332
001385 1 93 185 267
001385 250 98 434 215
001386 430 66 500 122
001409 242 51 500 272
001414 1 1 500 330
001432 1 1 337 293
001432 331 113 500 238
001432 236 106 500 375
001445 1 213 304 342
001455 420 96 500 131
001455 176 132 297 202
001455 171 64 386 201
001455 1 68 283 297
001466 1 119 289 241
001472 77 1 500 353
001488 253 163 419 201
001492 1 150 500 334
001494 64 244 318 374
001532 119 165 258 216
001532 77 118 228 194
001559 47 254 140 347
001559 1 101 191 474
001559 198 176 249 216
001559 60 256 95 304
001559 191 84 261 213
001559 1 169 149 292
001559 106 175 178 206
001561 300 162 381 271
001561 37 164 407 375
001561 445 258 463 274
001561 157 162 238 184
001561 108 139 272 242
001576 238 173 499 258
001604 1 92 282 254
001618 82 111 468 244
001622 1 260 144 500
001640 105 1 500 307
001654 72 87 226 276
001654 75 165 112 238
001654 34 133 129 245
001654 331 1 408 66
001654 122 60 296 103
001654 299 72 500 122
001654 365 142 500 256
001662 119 95 500 242
001676 146 73 500 211
001693 1 83 291 328
001699 1 124 71 186
001699 1 1 156 183
001699 293 96 300 131
001699 233 59 295 168
001746 1 228 253 319
001780 207 106 500 206
001780 1 1 181 308
001801 1 167 93 252
001801 343 174 485 236
001801 1 167 60 200
001801 316 233 401 289
001821 1 48 361 375
001845 1 176 268 375
001862 240 1 310 64
001862 108 1 311 160
001862 1 120 286 375
001862 125 1 456 341
001877 1 1 500 283
001881 68 71 500 292
001899 369 178 500 246
001902 293 212 500 368
001931 1 130 254 277
001937 1 200 316 356
001944 1 1 291 322
001954 103 119 354 263
001962 344 195 412 253
001962 447 203 500 247
001980 1 167 196 289
001980 27 161 54 179
001980 91 208 232 375
002019 1 117 500 333
002019 251 1 500 273
002019 46 111 209 239
002023 1 56 208 257
002045 38 41 500 206
002056 231 191 375 345
002056 76 83 375 418
002116 47 88 120 214
002116 1 1 256 375
002116 313 1 490 155
002125 239 157 500 316
002134 1 1 466 353
002135 254 98 375 208
002153 91 176 500 315
002170 373 247 500 322
