imagename box_x1 box_y1 box_x2 box_y2
000019 189 128 261 229
000019 80 115 308 260
000044 199 104 306 189
000077 148 1 401 333
000099 72 55 500 228
000118 161 7 248 282
000118 205 99 255 180
000122 256 2 418 193
000143 138 46 500 333
000209 23 78 387 375
000215 175 85 332 376
000242 171 1 500 309
000354 1 35 169 259
000354 46 1 136 65
000354 148 70 280 137
000400 21 1 332 322
000403 171 179 318 375
000430 1 1 347 334
000486 137 231 291 372
000516 217 89 404 268
000528 139 67 320 344
000544 60 65 261 192
000549 1 37 326 500
000690 280 97 346 171
000705 71 19 351 192
000705 266 53 369 191
000705 32 39 103 160
000705 391 104 458 144
000705 6 79 75 186
000710 122 177 207 262
000710 72 178 183 339
000794 223 210 287 264
000857 203 9 307 123
000876 206 1 500 334
000912 108 1 371 293
000921 1 1 478 375
000962 1 143 217 375
000965 1 84 128 278
000965 170 89 272 158
000965 1 197 44 260
001001 1 37 246 336
001009 46 29 305 342
001043 171 155 306 279
001043 80 27 415 313
001078 27 244 106 375
001082 192 130 273 264
001082 141 208 211 304
001110 159 86 298 208
001156 79 101 252 322
001156 184 82 312 241
001156 168 84 450 331
001185 181 198 289 332
001211 166 207 409 468
001233 192 176 288 286
001274 95 198 227 358
001274 150 171 300 308
001314 144 1 352 172
001387 1 32 375 433
001395 1 1 363 375
001404 1 1 460 375
001443 192 1 487 231
001486 79 103 277 271
001541 1 7 452 323
001555 324 297 403 368
001582 331 174 432 226
001610 220 67 438 225
001669 1 173 375 500
001673 206 199 461 334
001747 1 1 401 300
001755 55 48 148 190
001816 93 30 338 106
001816 1 1 500 141
001825 1 44 173 250
001840 127 165 217 278
001888 116 140 333 370
001906 302 195 420 271
001906 344 205 387 256
001906 262 186 371 243
001906 12 113 482 301
001934 118 1 244 182
001940 100 161 333 427
001971 139 82 257 230
001981 125 1 331 257
001982 1 99 453 375
002006 163 1 500 375
002034 312 153 415 192
002034 104 128 177 227
002058 149 1 500 252
002067 150 1 384 333
002095 1 7 290 383
002109 135 75 228 135
002151 98 1 334 351
002196 1 38 375 500
002202 189 8 463 277
002215 351 1 500 225
002268 294 165 368 246
002375 37 1 318 235
002391 1 108 129 360
002407 105 28 241 189
002437 170 1 500 338
002441 103 142 169 207
002441 1 1 500 312
002441 43 106 158 280
002441 119 115 182 175
002441 283 122 479 309
002445 50 99 348 488
002461 161 108 227 182
002470 1 85 289 394
002480 209 122 315 284
002483 213 83 277 146
002483 242 85 318 176
002637 160 189 229 272
002677 96 189 288 409
002706 136 42 354 333
002760 1 1 238 333
002766 194 115 322 236
002785 224 1 477 163
002796 141 225 303 360
002924 63 23 265 322
002934 187 1 393 314
002944 1 1 335 500
002952 239 97 347 168
002952 132 134 218 191
002952 99 197 198 282
002952 1 1 406 375
002995 14 37 408 500
003004 16 134 98 229
003031 209 114 437 315
003045 149 82 322 254
003085 160 129 490 376
003085 174 128 258 182
003085 244 113 384 273
003085 311 294 500 376
003106 196 1 289 111
003127 109 24 500 340
003169 258 97 500 336
003184 283 75 500 295
003213 81 1 356 302
003272 358 178 435 292
003272 229 1 500 335
003272 277 115 430 283
003308 162 58 205 99
003351 162 139 223 239
003351 155 90 324 341
003392 219 21 500 375
003415 113 206 340 374
003500 270 110 393 221
003522 345 241 414 322
003522 360 142 456 315
003525 166 1 500 323
003546 338 19 500 375
003546 283 271 398 375
003546 123 85 167 188
003586 1 55 281 212
003620 364 116 452 253
003656 40 51 100 100
003674 128 1 465 250
003751 131 298 191 330
003763 1 1 464 375
003780 70 312 206 474
003780 1 244 96 388
003780 1 240 375 500
003780 171 399 207 455
003788 171 118 372 281
003788 237 183 317 251
003788 253 137 329 213
