imagename box_x1 box_y1 box_x2 box_y2
000005 1 1 377 375
000044 38 180 377 333
000047 338 144 500 244
000047 1 41 458 203
000050 1 188 500 375
000050 300 1 500 253
000063 13 17 119 98
000063 1 75 101 162
000089 1 183 292 374
000089 160 1 357 287
000093 161 1 282 137
000101 1 1 240 84
000112 269 96 295 121
000112 61 1 120 131
000112 1 68 105 343
000147 1 2 169 149
000192 250 1 500 375
000192 1 126 153 375
000203 207 1 475 241
000203 1 139 200 333
000208 1 1 278 248
000218 118 45 236 189
000218 1 186 405 333
000222 256 54 440 375
000229 1 35 322 375
000229 388 28 500 297
000235 1 109 500 375
000249 1 1 500 333
000282 237 1 362 374
000282 191 1 500 160
000285 392 264 461 331
000285 404 283 500 375
000285 276 31 411 375
000331 1 11 375 500
000349 1 1 468 375
000359 225 1 432 364
000359 1 1 143 287
000381 1 1 375 500
000428 216 1 500 346
000433 224 5 499 366
000459 150 1 321 225
000460 1 1 500 314
000492 199 1 500 345
000496 229 1 500 375
000526 364 199 500 333
000526 266 167 328 247
000526 13 1 260 212
000526 119 122 372 333
000550 1 1 434 262
000555 194 1 500 273
000564 184 1 500 333
000591 149 160 241 238
000592 72 65 331 281
000597 28 129 346 296
000598 1 1 467 341
000599 142 1 500 375
000613 146 144 418 333
000625 282 18 483 160
000632 145 1 500 256
000661 113 1 500 205
000661 1 94 500 375
000661 1 1 203 225
000684 118 58 375 341
000707 1 27 375 395
000709 95 19 213 144
000710 52 1 375 500
000717 238 230 334 375
000717 1 47 344 375
000761 10 7 500 375
000771 1 1 375 456
000780 1 1 500 218
000804 30 220 164 393
000830 11 1 350 375
000848 363 60 500 190
000854 206 1 448 311
000859 95 24 500 333
000859 1 21 263 261
000865 222 34 500 365
000903 170 111 275 219
000903 233 1 416 370
000903 38 25 294 403
000915 181 1 242 75
000915 1 1 323 375
000917 258 199 344 345
000917 1 218 399 360
000918 247 1 333 434
000921 107 1 297 375
000929 265 1 436 140
000929 28 1 500 254
000943 128 18 500 303
000943 382 80 473 237
000943 52 8 102 198
000948 208 48 437 239
000948 1 1 500 351
000948 255 1 500 140
000950 1 1 461 331
000950 339 1 414 193
000950 335 81 500 254
000996 1 1 441 224
001014 297 1 419 329
001014 1 143 397 375
001018 1 161 161 375
001018 1 32 384 375
001027 209 1 500 292
001028 1 137 180 256
001028 200 116 393 356
001028 130 1 406 96
001028 255 170 358 245
001106 57 112 236 282
001158 266 43 405 351
001158 45 1 500 280
001164 1 1 442 375
001174 1 1 422 368
001187 1 119 375 500
001204 333 144 484 262
001204 158 1 500 375
001211 1 128 409 500
001214 11 1 296 362
001231 332 1 500 219
001263 1 1 398 270
001279 14 1 223 134
001279 1 1 251 473
001279 29 155 130 268
001279 121 1 375 178
001343 93 166 287 311
001345 77 1 500 375
001350 75 1 348 375
001350 256 1 442 207
001352 50 229 129 276
001352 33 166 140 257
001393 77 1 500 375
001421 1 98 231 500
001439 1 211 375 500
001441 29 23 410 304
001443 1 1 137 374
001444 1 43 500 375
001457 276 89 444 245
001465 1 72 373 362
001517 30 112 421 287
001517 245 1 500 291
001529 1 1 500 375
001531 46 29 226 375
001531 133 53 335 287
001531 223 282 277 375
001548 121 1 414 330
001563 139 112 484 333
001577 132 4 500 168
001633 1 1 430 375
001649 7 83 270 447
001650 1 1 353 333
001651 1 18 375 145
001677 1 1 365 303
001678 4 68 304 260
001678 108 2 252 167
001683 320 120 433 249
001689 217 238 375 421
001689 271 42 375 325
001717 13 16 246 247
001729 1 1 334 199
001756 169 1 273 303
001756 1 1 364 350
001771 1 1 122 32
001771 1 1 332 219
001771 313 53 500 348
001777 155 1 500 226
001828 35 17 172 128
001837 201 270 375 500
001837 1 174 151 354
001837 1 431 56 500
001864 1 122 218 332
001864 1 240 126 308
001882 1 1 387 279
001887 185 287 289 375
001887 314 216 500 311
001901 80 1 319 500
001932 1 1 316 373
001944 157 240 460 348
001944 60 1 261 99
001963 15 85 140 240
001971 1 1 468 347
001971 60 1 248 99
001978 106 123 367 315
001995 32 1 162 294
001995 94 92 199 204
001995 230 39 375 192
001995 133 1 200 72
001999 128 53 484 375
001999 355 1 500 209
001999 163 1 353 194
001999 263 1 397 107
001999 356 79 438 141
001999 223 64 290 194
001999 297 15 349 87
002002 1 93 164 287
002025 88 153 375 321
002063 1 1 375 452
002064 444 17 500 306
002064 322 85 368 110
002090 1 1 199 300
002124 1 44 342 298
002156 205 134 500 286
002181 264 1 463 154
002181 348 68 475 171
002186 180 1 385 135
002194 82 1 500 326
002218 1 57 35 136
002221 118 1 201 59
002287 1 1 214 375
002305 1 1 144 159
002308 1 354 89 500
002308 39 1 113 334
002334 1 1 412 287
002362 1 1 425 349
002368 23 138 333 500
002404 45 1 500 230
002417 209 102 500 500
002417 1 73 341 387
002425 1 1 375 329
002442 1 1 375 154
002456 41 1 290 152
002456 239 78 500 253
002483 282 8 500 375
002492 132 1 500 375
002501 1 1 500 375
002501 1 1 249 217
002501 226 1 409 160
002501 388 1 500 199
002542 328 120 460 307
002542 214 1 448 375
002559 1 1 323 219
002559 326 1 496 166
002559 1 1 119 177
002559 251 1 418 117
002561 47 1 500 375
002561 199 58 360 202
002572 59 1 500 333
002589 145 4 239 149
002627 104 92 359 346
002627 1 1 228 377
002636 1 108 341 285
002645 1 23 500 332
002658 1 1 405 333
002696 235 260 400 374
002702 1 49 333 359
002747 32 92 322 289
002751 16 1 500 177
002751 354 54 500 176
002751 249 106 500 222
002767 61 1 368 272
002778 105 176 263 267
002798 251 122 365 226
002801 419 37 500 101
002801 262 1 346 46
002801 1 22 189 173
002803 211 1 431 235
002866 17 41 361 375
002910 1 1 397 284
002939 1 77 333 375
002939 86 134 262 262
002943 181 161 378 283
002947 23 161 268 389
002957 54 356 324 356
002957 137 1 230 118
002989 84 92 439 333
003004 295 1 500 160
003005 1 1 500 263
003011 45 71 441 280
003023 239 168 346 371
003023 1 1 265 434
003023 127 257 265 461
003023 1 349 273 500
003024 186 1 300 96
003034 119 1 500 238
003034 28 1 229 305
003042 35 1 170 140
003042 1 1 408 177
003042 93 1 145 77
003042 195 111 380 155
003056 44 222 469 375
003061 80 1 500 201
003077 27 18 447 321
003077 209 32 331 292
003077 236 178 286 293
003077 159 144 224 190
003078 1 1 127 259
003078 207 36 500 326
003120 1 1 500 375
003129 16 168 110 218
003129 1 146 47 225
003129 1 146 160 257
003185 1 1 500 285
003185 219 188 351 323
003185 1 138 347 375
003186 49 37 500 332
003202 210 5 451 201
003205 1 1 333 500
003205 1 161 91 389
003205 215 160 306 316
003216 1 7 185 253
003216 22 68 111 127
003216 42 112 147 192
003219 9 23 334 229
003239 72 15 416 375
003259 1 34 191 204
003259 1 1 480 333
003284 1 213 118 375
003300 92 77 369 332
003308 1 1 174 500
003335 40 90 318 326
003335 256 151 307 202
003350 1 15 170 188
003360 135 1 333 417
003360 1 155 69 327
003376 16 67 356 375
003401 30 1 500 281
003421 50 102 375 500
003422 193 1 492 190
003433 93 1 326 323
003451 119 55 389 258
003452 91 178 333 422
003461 319 1 400 84
003461 220 280 274 333
003477 149 1 500 375
003510 112 129 288 309
003516 1 1 500 291
003518 62 1 281 188
003518 130 1 227 82
003518 1 1 146 196
003518 63 1 188 39
003521 41 1 360 259
003521 221 88 416 236
003588 1 1 495 333
003609 1 15 320 170
003638 463 1 500 288
003638 1 185 272 375
003638 350 1 426 252
003638 380 1 500 375
003644 146 105 307 235
003644 212 1 500 281
003644 1 1 191 113
003662 102 1 333 332
003664 270 105 406 285
003664 352 195 500 336
003664 1 1 412 313
003664 158 203 243 285
003694 1 10 461 272
003708 1 41 138 191
003708 231 1 375 325
003751 215 105 326 194
003767 24 1 348 290
003767 181 1 500 223
003767 179 235 296 316
003767 213 157 251 207
003791 1 237 279 375
003837 1 83 329 366
003857 1 18 263 208
003859 168 45 375 246
003865 28 1 424 375
003907 18 50 299 202
003923 281 250 423 333
003923 20 228 108 255
003923 219 190 301 232
003923 286 209 387 272
003923 247 209 319 264
003923 1 1 500 201
003947 1 142 284 500
003988 129 30 448 336
004012 180 201 285 464
004014 135 1 326 143
004014 231 1 375 414
004014 322 80 375 206
004014 290 1 375 152
004014 1 1 164 172
004028 220 1 500 375
004028 164 115 500 224
004028 134 1 356 265
004047 1 76 181 259
004093 1 1 496 333
004105 166 144 500 375
004106 310 150 500 375
004106 1 168 194 375
004111 258 1 476 375
004142 46 1 141 209
004142 1 1 350 341
004142 184 1 295 122
004149 1 1 211 173
004164 51 36 270 325
004193 117 17 465 252
004201 1 1 253 228
004201 226 1 500 375
004253 16 1 500 375
004257 1 1 260 333
004259 35 24 435 314
004270 216 1 500 296
004310 417 128 500 302
004310 337 4 467 128
004364 121 1 463 332
004392 314 177 432 292
004405 1 1 74 280
004405 1 1 333 378
004421 1 167 214 362
004484 1 1 500 231
004496 46 1 215 115
004496 257 129 330 214
004510 95 83 500 279
004510 1 198 450 259
004512 176 1 500 271
004512 29 1 48 16
004512 25 1 95 211
004549 1 1 500 292
004574 1 333 144 462
004597 1 101 500 375
004597 279 1 500 95
004597 40 77 130 259
004607 1 1 500 375
004611 136 257 500 375
004611 16 1 114 279
004631 1 59 142 448
004655 330 150 500 321
004655 246 1 457 182
004655 305 111 442 201
004692 1 1 375 444
004692 55 1 161 252
004692 39 52 103 198
004714 1 1 496 223
004732 1 1 247 500
004732 187 134 375 356
004735 1 9 246 375
