imagename box_x1 box_y1 box_x2 box_y2
000107 263 135 337 173
000211 1 165 238 375
000232 101 76 308 251
000306 150 25 300 76
000306 101 18 208 81
000306 305 44 379 85
000408 77 180 188 226
000408 46 117 344 226
000417 1 1 306 278
000462 61 1 500 300
000464 1 194 219 272
000491 208 55 473 199
000491 88 1 313 181
000622 1 144 244 375
000622 1 1 444 109
000728 1 88 500 333
000767 1 1 286 341
000770 132 174 407 293
000786 84 96 290 281
000786 85 202 133 255
000786 92 121 184 209
000808 130 100 500 333
000827 190 102 304 196
000834 89 107 262 175
000834 1 1 500 216
000880 267 35 353 73
000904 1 107 411 256
001073 61 177 170 238
001130 1 110 284 220
001143 1 1 364 403
001182 160 156 234 257
001299 59 63 256 355
001312 173 280 252 327
001312 28 189 171 336
001442 148 1 500 241
001468 161 76 293 193
001614 1 48 372 358
001713 1 1 500 435
001741 1 94 282 254
001799 282 249 399 359
001799 98 249 500 392
001806 52 269 165 371
002021 1 36 250 173
002088 219 68 403 332
002088 273 1 421 72
002126 1 1 343 375
002152 293 139 475 271
002237 182 1 500 375
002300 1 179 500 347
002323 223 268 290 294
002323 82 121 163 166
002369 143 136 216 228
002387 223 154 374 261
002494 67 117 219 295
002505 1 1 476 375
002634 1 36 500 339
002669 114 192 227 258
002695 1 78 91 160
002749 1 67 500 375
002763 64 106 403 292
002794 1 1 152 122
002868 327 210 430 311
002940 344 104 423 144
002978 241 31 500 273
002990 1 138 267 355
003105 1 48 301 264
003354 1 77 270 238
003354 442 169 500 207
003410 1 103 500 375
003439 90 86 417 289
003640 139 111 358 303
003750 1 1 500 185
003887 233 433 310 474
003994 88 184 276 360
004023 1 1 500 345
004141 1 1 313 500
004200 1 1 300 82
004368 409 147 482 233
004368 260 172 455 257
004441 1 158 171 201
004474 90 41 360 352
004500 61 100 241 232
004537 3 88 226 195
004571 1 44 268 216
004585 170 176 292 234
004686 69 151 219 247
004826 32 228 500 375
005036 136 94 265 231
005063 121 291 277 470
005114 44 137 124 257
005124 180 58 397 166
005326 220 186 348 263
005404 271 250 500 375
005418 234 127 425 307
005514 1 1 500 306
005547 104 178 344 305
005653 1 1 500 275
005728 305 145 401 233
005841 17 187 294 487
005841 16 177 282 255
005843 138 202 281 302
005981 193 246 328 375
006073 100 95 500 375
006073 363 279 492 356
006095 393 140 500 278
006111 1 1 500 375
006148 96 231 164 322
006170 177 56 500 334
006170 107 167 353 246
006177 348 233 427 280
006202 64 137 177 213
006291 257 100 333 212
006404 1 185 320 313
006562 187 116 327 237
006612 73 201 219 298
006708 326 174 476 274
006708 1 26 494 283
006761 83 180 380 343
006841 214 149 374 291
006935 151 354 260 500
006935 1 202 333 500
007008 4 5 341 289
007045 1 216 207 320
007072 1 143 347 375
007075 4 37 368 266
007153 236 171 398 270
007215 128 81 432 333
007389 1 67 241 274
007528 224 194 329 248
007772 126 47 500 272
007786 1 89 294 224
007939 136 271 329 410
007979 286 65 467 147
008005 327 179 423 248
008189 321 153 500 227
008202 373 103 500 204
008208 1 48 375 500
008299 181 181 301 306
008342 141 96 314 191
008345 321 147 500 280
008475 251 126 500 375
008607 1 7 338 216
008615 17 171 130 227
008636 1 63 500 375
008706 227 137 323 242
008722 296 257 354 283
008722 283 213 390 287
008722 1 203 389 332
008722 128 1 470 238
008927 163 236 267 327
008973 268 47 475 264
009113 195 81 249 112
009133 1 73 212 333
009189 252 189 372 259
009245 1 14 291 290
009308 303 88 379 186
009375 113 120 183 147
009375 129 122 187 202
009429 198 200 309 254
009463 1 115 500 333
009463 17 179 115 326
009512 135 91 291 168
009545 250 37 500 306
009586 111 339 242 399
009650 75 203 260 310
009650 1 209 321 457
009710 234 102 500 375
009717 1 130 224 230
009865 1 107 315 334
009897 88 148 230 229
009908 90 108 269 255
