imagename box_x1 box_y1 box_x2 box_y2
000035 326 99 437 375
000177 1 134 370 375
000208 1 1 500 375
000222 183 213 305 306
000229 113 117 340 312
000235 1 168 314 375
000249 133 1 438 252
000250 97 1 482 375
000250 233 158 319 245
000308 40 168 169 258
000308 158 103 500 375
000308 292 112 439 225
000308 126 189 315 338
000349 238 130 352 210
000349 271 134 332 177
000349 299 147 410 230
000381 81 1 375 500
000394 328 175 496 290
000394 431 215 500 282
000394 74 90 500 375
000394 332 237 421 291
000428 209 254 500 414
000448 139 105 286 157
000459 135 1 471 219
000459 429 104 471 150
000492 168 225 246 301
000496 1 129 500 375
000496 274 191 328 233
000550 263 1 500 274
000564 143 153 271 227
000564 215 113 350 224
000591 122 141 188 247
000591 149 161 226 235
000613 180 103 352 241
000753 1 114 434 375
000753 157 1 351 230
000830 199 167 255 216
000847 1 109 375 406
000865 1 185 229 375
000915 1 98 320 375
000915 181 1 419 354
000929 145 1 500 264
000950 85 92 438 324
000996 25 165 187 228
001018 1 32 384 375
001018 159 106 317 303
001079 342 171 500 375
001091 1 211 264 375
001106 1 112 239 332
001106 75 223 315 332
001164 143 131 358 223
001164 247 172 344 228
001164 198 1 342 284
001174 1 1 364 214
001174 187 138 268 246
001185 243 190 482 375
001263 368 222 500 375
001263 117 174 369 375
001263 287 1 485 375
001393 168 126 281 278
001421 1 287 375 500
001421 167 294 299 394
001430 157 280 245 375
001439 117 254 313 437
001441 208 304 349 376
001451 112 85 500 334
001465 1 116 207 375
001465 77 256 136 305
001537 363 199 500 304
001563 20 129 458 304
001577 111 1 500 249
001593 16 289 207 498
001633 1 1 379 375
001677 281 34 342 117
001683 256 137 302 190
001683 61 229 210 331
001756 1 1 344 500
001777 1 80 149 234
001793 26 295 236 419
001901 1 1 375 500
001963 246 146 311 305
002025 229 147 272 248
002025 88 153 375 321
002030 338 1 500 323
002030 74 127 500 375
002061 77 61 427 375
002063 46 231 375 410
002064 415 21 500 375
002108 14 130 409 334
002156 17 173 99 265
002156 204 179 266 279
002156 159 127 474 276
002156 80 170 132 218
002186 149 369 166 375
002186 182 1 436 215
002186 159 1 283 92
002221 127 202 196 265
002368 136 97 333 500
002385 176 152 303 242
002404 1 174 191 324
002442 181 62 315 216
002456 26 1 276 204
002529 190 204 444 343
002542 1 155 79 285
002627 89 254 375 413
002627 194 124 338 225
002636 364 153 439 195
002658 1 1 405 333
002662 58 39 365 266
002668 1 71 500 375
002668 300 288 500 375
002668 222 1 355 121
002755 144 135 398 375
002798 41 76 350 375
002801 43 1 219 192
002866 229 298 297 344
002914 1 228 192 375
002943 181 193 250 245
003011 237 71 282 150
003011 97 71 403 226
003011 154 148 282 236
