imagename box_x1 box_y1 box_x2 box_y2
000021 136 225 221 284
000021 89 228 216 350
000036 144 150 253 295
000063 63 103 379 355
000065 1 47 500 335
000078 1 1 300 194
000093 185 129 300 227
000112 155 161 257 305
000120 1 75 201 272
000140 103 160 252 285
000171 51 294 225 408
000218 1 186 405 333
000218 316 1 500 333
000246 119 30 349 293
000266 132 19 288 250
000278 319 91 500 375
000336 173 99 388 380
000336 325 274 455 355
000359 270 294 322 336
000443 148 122 500 464
000454 219 123 257 256
000454 308 74 364 140
000476 242 251 303 291
000476 264 298 430 375
000501 140 373 218 483
000537 266 179 319 283
000582 86 127 375 500
000582 116 174 274 281
000582 1 49 249 322
000609 1 71 441 375
000654 305 178 380 231
000654 1 171 100 249
000654 58 96 152 139
000656 337 76 432 128
000656 301 88 390 163
000699 56 207 151 275
000720 116 82 500 278
000746 1 118 369 333
000756 150 59 235 210
000772 29 142 263 368
000777 165 127 304 269
000797 133 123 350 333
000805 172 302 299 437
000805 216 80 375 247
000805 323 117 375 177
000842 1 166 353 356
000849 50 124 142 328
000882 137 23 399 284
000902 87 229 174 308
000902 310 80 435 155
000902 433 67 500 129
000919 136 1 349 331
000947 42 166 122 303
000958 86 94 332 226
000965 181 74 359 196
001014 82 141 392 375
001053 105 109 299 369
001053 28 57 232 221
001056 198 224 303 297
001092 1 66 222 192
001104 189 59 299 191
001104 131 1 500 334
001127 26 41 139 192
001127 1 1 500 327
001140 52 280 210 393
001145 1 219 279 500
001151 164 134 408 307
001151 1 60 277 331
001192 150 111 186 158
001203 87 42 291 185
001206 173 144 248 212
001206 163 179 233 304
001206 194 137 227 162
001206 43 1 500 224
001206 181 1 316 160
001209 201 133 267 220
001211 1 7 237 282
001225 110 222 164 367
001226 376 52 500 233
001226 418 53 497 105
001234 1 399 64 500
001234 147 31 260 104
001239 1 1 349 375
001293 187 97 500 492
001316 150 75 377 368
001324 1 46 124 265
001397 151 124 207 174
001406 276 116 382 214
001418 219 26 339 151
001467 145 81 459 268
001490 264 181 355 244
001517 63 87 282 190
001517 346 139 417 222
001517 325 105 476 245
001524 177 108 288 223
001554 290 156 425 225
001594 258 180 300 231
001607 198 121 338 312
001642 175 65 296 219
001643 333 139 434 216
001675 263 1 488 88
001680 21 22 375 500
001680 93 121 250 320
001718 153 129 274 225
001738 202 144 267 313
001758 89 101 133 150
001759 307 1 483 95
001759 60 176 201 375
001759 143 91 259 177
001778 316 33 390 78
001825 21 1 500 168
001832 221 1 500 375
001940 163 269 261 320
001972 120 134 171 212
001972 162 1 333 198
001972 123 288 239 350
001972 169 157 244 250
001985 1 1 297 213
002011 324 279 401 352
002011 25 106 135 214
002011 385 252 438 276
002034 63 251 141 288
002034 265 1 500 277
002055 14 173 135 323
002055 90 223 161 284
002101 31 333 85 417
002101 152 371 324 494
002116 209 240 284 351
002116 288 213 416 326
002117 190 114 274 161
002140 72 254 262 482
002140 146 1 286 145
002146 109 203 148 234
