imagename box_x1 box_y1 box_x2 box_y2
000009 69 105 315 338
000017 101 60 370 230
000133 120 101 309 499
000150 178 80 377 254
000173 78 64 349 267
000194 105 1 255 124
000214 183 1 500 375
000275 8 159 341 360
000328 41 95 251 274
000332 192 41 323 222
000332 1 33 266 236
000347 1 1 383 283
000372 259 39 377 190
000407 170 29 480 223
000435 225 65 428 299
000470 112 107 273 259
000470 210 96 396 318
000483 1 143 383 346
000523 1 166 375 350
000524 173 100 355 257
000577 1 1 500 333
000577 163 123 231 262
000667 1 162 434 500
000695 225 38 500 275
000695 252 77 340 152
000695 117 133 403 363
000702 76 125 236 239
000760 328 126 500 263
000764 40 1 500 274
000799 80 199 364 441
000799 98 110 225 248
000879 105 96 367 375
000904 46 118 263 284
000991 63 88 309 347
001064 70 1 320 153
001071 143 130 332 500
001084 109 190 221 464
001084 123 124 318 324
001084 1 121 197 340
001236 1 137 321 350
001241 2 287 54 324
001241 199 179 354 500
001254 199 54 449 263
001287 1 96 223 288
001287 1 135 500 401
001287 256 224 313 394
001287 304 144 457 214
001287 1 311 49 362
001337 75 95 283 316
001337 104 245 251 343
001405 141 146 268 341
001405 92 1 212 345
001420 181 80 366 262
001515 142 206 409 500
001523 126 160 343 375
001556 1 13 383 279
001586 255 22 480 246
001628 115 53 360 261
001632 1 126 380 375
001632 149 1 500 206
001690 1 19 283 302
001699 157 1 500 332
001699 315 129 428 222
001699 336 61 500 173
001711 1 1 500 358
001711 30 27 105 89
001711 243 1 500 143
001711 41 1 215 85
001711 209 1 339 102
001724 25 23 253 254
001727 266 18 480 226
001730 203 76 343 230
001730 7 129 474 375
001766 192 109 333 264
001807 72 107 192 198
001894 141 1 478 348
001894 220 1 318 262
001927 1 87 226 276
001945 135 177 248 367
001960 167 125 329 333
001960 185 221 277 315
002042 58 178 303 360
002043 144 22 454 500
002183 73 81 432 304
002187 194 133 366 302
002190 147 1 272 221
002213 21 1 371 361
002238 136 13 500 302
002238 244 125 302 241
002249 1 1 440 332
002261 150 81 500 311
002273 71 1 320 146
002329 107 148 500 375
002405 54 48 357 378
002448 233 84 376 285
002471 188 1 500 375
002520 153 179 264 270
002554 115 137 180 216
002554 1 119 196 214
002555 112 111 304 245
002633 117 78 247 293
002657 213 200 289 259
002678 268 35 480 318
002684 1 1 340 500
002713 1 189 210 487
002735 17 170 420 346
002774 203 68 440 255
002774 308 108 500 371
002786 176 43 406 239
002804 304 152 410 259
002842 201 113 389 243
002858 1 32 333 500
003015 392 332 500 365
003017 1 96 464 311
003027 1 42 349 276
003121 256 138 338 240
003189 151 59 268 334
003210 106 47 288 244
003290 110 104 378 256
003303 62 159 218 335
003307 218 37 336 156
003307 231 22 334 71
003362 210 100 281 173
003362 1 1 325 210
003362 198 73 346 228
003403 1 1 416 185
003424 93 77 333 500
003424 1 239 220 500
003429 181 22 431 206
003436 1 139 211 321
003492 1 100 198 366
003492 104 1 263 171
003492 133 131 224 216
003492 1 1 500 256
003611 167 289 274 329
003618 157 113 427 257
003625 153 103 354 247
003645 259 115 312 180
003691 1 202 323 409
003696 172 84 329 286
003732 262 272 336 500
003735 85 60 256 237
003754 252 309 330 346
003754 186 155 500 357
003754 335 199 475 305
003754 163 254 367 357
003772 216 1 387 195
003779 146 98 480 305
003889 133 81 282 250
003939 259 74 500 198
003948 1 21 307 224
003960 250 200 386 300
003960 127 154 355 303
003970 126 137 297 316
003970 1 138 164 287
004051 142 85 434 288
004077 204 157 244 216
004117 112 107 443 330
004146 164 34 500 375
004168 290 171 500 433
004195 49 163 204 303
004307 1 89 500 315
004323 1 1 324 363
004339 1 116 200 475
004372 152 96 314 254
004389 75 225 327 500
004450 108 1 279 217
004450 1 1 66 89
004487 114 81 241 351
004535 101 44 480 438
004537 78 36 450 301
004537 2 2 222 367
004553 136 48 339 280
004553 225 192 338 291
004634 260 1 460 187
004634 1 1 460 387
004634 58 49 241 179
004634 128 116 378 270
004656 135 239 216 389
004662 1 125 299 470
004686 352 140 461 251
004722 331 201 381 247
004788 321 92 435 193
004789 185 106 327 236
004789 231 159 301 232
004815 249 134 443 259
004834 1 94 387 359
004872 195 91 308 250
004902 1 125 349 265
004935 1 105 169 294
004935 76 155 246 305
004935 97 245 171 335
004935 1 199 197 406
004935 144 208 332 419
004950 105 18 270 145
004968 1 240 329 500
004995 133 192 249 386
005081 1 1 170 168
005081 375 138 438 194
005081 228 7 319 53
005081 396 124 500 169
005081 1 113 326 281
005094 222 142 500 266
005114 289 33 500 322
005145 189 209 262 240
005145 215 182 314 245
005145 1 91 296 500
005161 1 159 126 274
005161 124 149 257 267
005161 336 95 450 250
005161 227 142 330 291
005236 1 73 196 313
005248 355 139 416 264
005248 216 295 260 345
005278 52 42 380 243
005306 1 86 247 174
005306 138 293 202 375
005306 64 141 241 256
005306 1 1 500 375
005306 62 103 126 147
005331 78 118 284 443
005351 219 104 500 375
005419 41 78 238 324
005453 1 240 241 333
005453 1 160 140 272
005453 260 209 305 291
005453 242 159 472 318
005453 91 271 194 333
005453 1 259 81 333
005453 1 51 325 333
005461 281 149 500 322
005511 72 134 225 304
005550 1 117 283 272
005568 343 136 500 253
005611 131 10 480 253
005636 101 186 276 353
005700 156 201 219 330
005700 113 138 258 338
005728 62 61 259 287
005732 231 207 430 435
005741 261 124 446 271
005877 334 63 482 333
005948 321 114 438 248
006095 393 140 500 278
006134 98 125 217 297
006151 1 159 334 374
006249 1 1 414 329
006249 223 1 414 121
006276 113 141 364 347
006285 105 101 289 312
006295 39 94 254 199
006382 194 66 408 260
006382 261 91 415 146
006392 86 27 189 120
006392 186 155 263 194
006392 1 17 160 205
006428 156 60 500 281
006428 1 169 211 341
006429 1 1 329 402
006445 147 69 443 302
006455 99 63 210 189
006459 209 150 385 375
006506 321 112 500 279
006572 185 55 345 243
006611 104 135 332 381
006617 143 97 352 247
006645 114 110 284 316
006722 320 80 500 370
006769 38 69 236 267
006769 286 108 385 149
006789 73 29 267 233
006789 54 159 148 279
006797 1 1 386 375
006836 1 57 469 311
006847 68 93 178 303
006850 115 43 390 373
006858 111 81 262 295
006862 1 128 218 375
006866 252 38 445 166
006911 152 96 430 299
006933 57 1 497 332
006933 107 1 232 260
006944 106 113 181 149
007018 154 17 496 357
007035 275 83 380 212
007035 1 1 170 122
007109 150 1 500 242
007138 1 56 429 258
007163 1 78 189 256
007163 78 157 327 375
007163 192 85 305 274
007185 188 1 500 332
007185 50 1 321 296
007216 224 278 307 401
007234 98 37 277 169
007243 293 151 405 242
007243 338 182 407 223
007260 75 137 422 359
007308 1 98 389 363
007325 134 85 356 302
007325 55 1 372 84
007439 174 75 416 209
007448 120 111 317 253
007448 249 141 350 224
007526 101 156 332 378
007547 49 180 179 342
007547 1 1 500 373
007547 29 258 127 375
007570 100 110 268 273
007576 12 15 366 246
007594 160 143 248 221
007594 224 275 344 375
007594 120 194 219 375
007594 164 51 174 67
007603 201 158 317 288
007603 57 124 387 307
007611 1 91 366 375
007637 1 85 287 301
007697 66 171 211 408
007705 1 155 333 360
007705 208 432 249 500
007705 109 281 153 345
007727 186 39 322 270
007748 1 105 332 346
007809 81 1 486 375
007919 221 61 432 292
008019 1 87 392 318
008040 140 212 325 339
008040 303 189 500 354
008040 1 92 156 382
008069 1 94 350 297
008142 147 72 325 278
008191 208 129 300 232
008191 138 182 270 248
008209 284 305 406 419
008248 228 64 365 330
008279 99 56 240 434
008279 160 205 327 467
008307 116 53 315 230
008311 1 145 500 333
008320 63 32 250 183
008427 322 1 470 333
008437 89 148 333 369
008509 80 6 188 254
008524 263 1 400 117
008526 107 248 310 415
008526 41 242 126 338
008526 86 223 187 312
008564 209 206 437 300
008596 1 70 356 340
008610 306 1 500 288
008612 183 133 349 232
008653 1 1 333 374
008699 1 113 381 364
008731 154 120 336 244
008744 1 125 332 391
008805 194 145 315 298
008862 85 141 230 430
008867 143 107 301 283
008867 292 171 500 246
008876 134 158 482 333
008886 71 112 241 203
008914 93 1 157 30
008914 155 1 232 25
008914 36 1 98 31
008919 87 81 293 198
009020 200 86 360 290
009024 163 142 332 354
009114 1 37 320 212
009148 1 42 269 180
009202 1 125 460 342
009208 226 84 330 276
009208 325 241 365 319
009208 298 1 393 240
009236 79 51 480 209
009251 139 99 320 306
009255 1 6 224 200
009318 227 11 336 334
009318 233 45 483 143
009331 1 92 230 286
009331 147 209 204 291
009331 101 159 325 285
009337 1 123 500 349
009407 71 103 391 320
009438 94 71 208 184
009438 141 115 226 257
009465 13 90 78 178
009465 15 47 110 136
009465 1 21 393 306
009468 59 17 220 170
009512 192 354 375 500
009512 92 111 238 178
009512 161 227 226 297
009512 130 145 375 413
009698 274 40 500 344
009719 1 124 225 341
009732 209 69 409 354
009767 119 19 375 500
009807 1 1 318 272
009841 242 62 500 222
009841 115 98 364 227
009851 92 145 305 269
009874 93 188 234 354
009954 41 116 408 297
