imagename box_x1 box_y1 box_x2 box_y2
000051 95 76 371 251
000072 56 81 333 403
000163 97 180 362 373
000164 108 176 415 374
000219 123 310 333 462
000302 122 285 210 369
000374 1 170 345 375
000419 1 1 500 311
000427 111 21 374 236
000427 48 112 271 227
000427 224 68 260 118
000463 202 52 360 167
000499 153 169 425 319
000525 96 115 216 225
000579 315 184 409 304
000579 134 36 500 298
000583 25 90 421 276
000583 227 131 286 222
000583 70 134 153 239
000685 71 1 500 375
000685 189 68 384 240
000686 27 146 301 295
000733 117 301 450 435
000770 316 273 401 329
000770 66 135 254 370
000770 1 53 119 321
000770 396 200 438 262
000822 245 199 301 312
000822 21 78 397 323
000822 131 254 210 347
000822 175 245 267 329
000851 17 123 398 334
000892 195 228 332 375
000987 143 128 351 414
001008 225 179 319 282
001017 1 146 206 456
001068 15 11 500 332
001101 243 94 500 333
001171 109 228 337 331
001199 178 251 500 375
001201 201 187 321 294
001266 210 89 347 294
001266 1 65 407 319
001266 246 160 474 332
001266 233 229 333 306
001286 88 130 294 331
001386 1 116 500 375
001426 57 162 333 500
001426 69 168 233 317
001426 69 1 241 255
001426 46 251 149 500
001450 178 176 323 262
001450 1 71 392 324
001450 204 138 331 204
001450 187 83 322 160
001475 66 199 500 362
001485 60 95 333 308
001510 105 125 254 262
001617 145 97 500 331
001688 237 1 369 341
001688 1 1 157 135
001688 62 1 271 173
001723 152 61 333 375
001723 85 165 283 289
001765 164 7 384 222
001765 288 63 374 206
001765 118 108 366 375
001780 113 80 400 279
001801 192 188 353 326
001854 6 367 135 499
001854 1 80 225 499
001899 174 177 339 282
001899 84 188 244 287
001903 102 204 221 327
001928 40 141 320 337
001928 217 256 380 417
001941 107 85 500 315
001948 108 40 423 322
002022 1 1 435 279
002082 83 144 228 268
002104 54 1 500 332
002172 164 240 312 355
002191 1 64 500 375
002260 110 174 280 282
002290 173 191 469 432
002318 27 191 170 339
002366 274 11 500 262
002367 100 220 355 344
002419 124 59 314 250
002458 1 130 133 205
002519 93 1 500 302
002519 127 12 217 187
002567 123 60 500 372
002585 68 111 225 263
002599 158 69 461 346
002643 173 98 301 220
002666 1 117 240 358
002723 178 207 500 336
002759 73 132 407 308
002795 174 195 267 248
002807 44 150 394 452
002848 203 20 320 81
002870 155 179 286 242
002870 1 54 500 333
002893 120 171 500 375
003057 1 118 315 404
003057 1 96 154 223
003089 195 76 500 333
003124 1 1 428 237
003162 1 150 472 349
003327 86 27 325 500
003327 138 103 316 192
003336 1 176 228 375
003367 1 222 100 320
003391 71 246 304 375
003391 75 287 153 375
003396 6 8 472 336
003412 102 187 311 500
003470 73 57 273 276
003470 95 1 269 144
003470 93 314 333 500
003470 214 95 269 143
003470 214 1 333 382
003470 243 98 333 220
003539 86 145 203 352
003567 181 202 326 291
003576 225 85 500 234
003585 84 250 333 424
003684 208 148 375 310
003706 63 49 347 289
003760 188 231 253 323
003760 104 235 235 375
003760 147 196 240 285
003824 90 171 333 444
003826 60 164 365 295
003849 172 195 301 266
003855 251 117 404 227
003941 72 146 458 336
003941 194 215 287 309
003992 1 1 265 198
004003 64 48 430 305
004033 99 66 293 197
004033 151 1 390 275
004067 134 136 281 190
004067 233 136 340 184
004145 162 178 334 295
004191 167 253 282 384
004215 169 90 356 375
004229 1 136 288 302
004255 367 1 441 61
004255 267 109 466 271
004255 1 162 328 355
004275 95 4 372 497
004283 80 8 375 483
004283 185 256 293 497
004300 81 236 236 314
004321 74 151 500 333
004338 72 83 451 310
004361 115 115 327 273
004380 60 248 253 435
004380 135 135 196 183
004380 1 1 199 500
004380 88 183 155 287
004380 113 386 234 443
004380 135 81 292 320
004463 91 149 391 324
004507 85 69 500 344
004601 113 68 361 333
004604 72 54 344 268
004647 1 183 304 333
004687 1 159 406 322
004694 101 226 200 343
004694 72 85 191 203
004750 36 184 218 298
004796 1 139 361 292
004805 84 87 406 317
004836 109 197 500 436
004840 1 212 210 375
004882 201 87 449 281
004882 99 172 191 276
004967 28 74 336 296
004967 122 1 217 127
005093 95 136 306 395
005116 146 109 392 272
005156 70 111 500 350
005173 191 132 499 272
005173 47 99 222 250
005212 331 160 425 277
005215 135 168 440 339
005258 1 173 131 304
005258 282 11 500 305
005260 17 96 215 213
005314 1 219 500 375
005398 88 188 177 281
005414 251 109 433 333
005436 1 136 176 217
005448 146 121 284 218
005552 165 273 313 408
005552 113 147 332 468
005552 152 173 225 404
005608 1 211 325 500
005615 193 84 306 217
005615 200 161 352 291
005652 160 135 253 305
005729 60 130 316 325
005736 316 106 500 213
005783 242 173 419 271
005791 148 1 500 334
005791 252 95 370 307
005878 1 102 336 222
005884 73 33 311 224
005928 1 91 157 375
005951 186 124 500 302
005989 141 153 500 296
005990 165 75 396 338
005996 1 101 377 299
006038 351 180 500 318
006071 145 71 353 260
006120 89 149 464 284
006177 70 191 159 284
006216 1 100 500 375
006236 1 203 375 500
006243 1 111 500 375
006272 66 217 151 383
006440 306 75 500 305
006476 1 120 338 326
006532 83 191 413 295
006550 1 212 256 333
006585 118 128 321 258
006618 132 65 210 119
006618 85 72 500 295
006618 179 165 394 263
006647 1 102 500 375
006747 134 1 394 215
006762 63 231 219 352
006822 64 110 229 277
006822 87 265 338 500
006839 55 13 471 362
006874 105 163 205 216
006874 1 125 256 250
006966 99 180 228 363
007009 1 1 432 225
007009 183 103 321 160
007073 1 192 500 375
007150 36 157 210 333
007200 1 101 500 333
007211 147 223 432 372
007271 64 226 180 298
007305 51 153 244 240
007314 242 72 348 234
007466 286 134 480 331
007466 246 160 369 285
007642 298 274 500 375
007647 17 192 139 342
007670 1 82 486 277
007688 1 1 397 351
007712 1 1 307 450
007793 137 139 399 334
007897 167 111 466 305
007902 324 68 454 144
007911 1 90 251 396
007984 1 197 67 245
008008 237 52 310 117
008108 100 182 254 318
008108 118 255 212 317
008241 1 195 335 375
008250 144 200 254 300
008294 112 115 320 236
008312 1 1 375 500
008315 331 260 406 343
008444 1 86 464 300
008444 74 50 144 126
008444 337 102 500 268
008535 310 1 500 248
008562 436 141 500 191
008595 186 7 500 290
008676 50 149 244 311
008695 239 61 463 234
008695 135 1 248 117
008742 177 421 256 468
008742 86 394 256 468
008752 176 89 500 299
008801 337 43 500 219
008810 1 27 384 333
008810 149 80 296 184
008810 319 37 450 134
008817 1 1 473 375
008979 83 157 440 353
009004 75 1 369 251
009007 203 161 430 346
009034 312 94 415 203
009049 54 121 411 329
009160 178 79 371 295
009160 257 195 366 289
009160 306 213 410 314
009160 297 203 365 242
009180 289 91 459 333
009191 1 28 499 348
009209 146 98 269 213
009230 1 78 386 375
009259 170 102 359 227
009287 235 80 500 286
009291 57 262 375 500
009291 57 278 110 406
009312 91 206 331 375
009382 129 297 333 420
009393 108 202 358 372
009457 67 66 414 375
009494 183 156 261 333
009494 1 156 378 333
009504 148 76 362 349
009504 1 198 480 500
009504 149 56 258 161
009504 110 206 268 384
009540 56 154 272 299
009573 211 136 436 297
009573 126 52 500 217
009591 283 142 432 304
009596 167 117 306 218
009691 145 17 379 333
009756 112 132 415 319
009776 1 129 428 375
009781 100 127 500 306
009822 249 278 312 375
009938 181 61 313 234
009944 145 39 321 279
