imagename box_x1 box_y1 box_x2 box_y2
000009 250 186 311 239
000009 154 140 210 197
000017 194 62 257 112
000021 60 47 130 144
000023 226 29 334 170
000023 102 63 139 110
000030 354 135 388 165
000032 198 107 243 147
000032 209 83 282 115
000032 145 117 263 258
000032 120 89 194 107
000032 199 185 251 225
000035 303 45 431 210
000041 223 78 308 132
000048 231 269 288 295
000048 205 171 287 258
000048 222 205 375 404
000048 1 7 220 239
000048 232 223 309 275
000048 222 229 270 258
000048 219 66 232 93
000048 20 1 166 67
000050 113 99 184 182
000051 358 32 488 111
000066 235 150 315 263
000066 191 183 286 213
000073 59 117 140 226
000081 1 157 93 235
000083 376 1 435 41
000089 1 1 115 79
000101 113 1 405 252
000104 1 1 256 173
000110 431 221 443 245
000110 1 217 82 310
000110 1 1 500 148
000113 288 86 324 133
000113 288 85 353 187
000125 371 201 463 248
000129 148 48 181 104
000131 221 281 244 287
000131 102 115 165 141
000131 167 105 301 151
000131 442 168 500 188
000133 165 55 245 105
000138 352 55 404 121
000146 42 316 57 328
000146 193 218 219 248
000150 1 1 135 68
000150 229 177 257 229
000150 279 159 309 211
000150 187 94 214 144
000150 8 48 50 70
000150 232 184 250 204
000150 208 156 237 232
000150 117 1 179 65
000150 194 78 224 109
000159 250 56 283 82
000159 223 38 293 65
000162 199 143 248 168
000163 85 49 176 136
000163 184 231 319 297
000163 3 33 118 83
000163 188 63 300 98
000163 59 118 133 260
000163 133 79 173 99
000164 289 32 417 97
000165 83 191 378 386
000165 270 137 327 302
000169 102 4 158 43
000170 125 1 303 225
000171 240 22 375 261
000171 74 131 375 430
000173 171 93 217 143
000173 157 65 285 154
000173 232 96 275 153
000173 46 187 176 480
000173 159 149 227 224
000173 204 285 249 323
000173 249 220 312 268
000173 90 143 212 186
000174 202 16 348 208
000177 391 53 455 163
000190 149 249 175 270
000190 152 220 264 277
000190 151 265 199 278
000190 453 203 500 226
000190 165 232 206 256
000190 286 180 322 210
000190 379 194 470 265
000192 1 1 433 159
000193 384 1 475 133
000194 178 20 208 75
000194 145 47 320 137
000194 188 85 224 128
000200 253 1 313 83
000210 473 316 500 336
000218 220 163 265 187
000218 110 1 147 38
000218 191 140 236 181
000218 231 142 251 175
000218 307 138 367 185
000218 212 128 268 184
000218 258 172 305 198
000218 289 161 347 199
000218 277 148 293 159
000220 274 144 311 172
000222 285 146 361 235
000229 361 133 472 235
000232 146 123 213 162
000232 231 32 257 71
000232 231 32 286 96
000245 489 194 500 208
000245 330 122 500 154
000251 4 401 83 449
000251 374 261 420 377
000257 142 126 218 211
000259 225 1 500 198
000269 100 47 180 120
000275 250 60 292 109
000276 154 168 193 219
000278 181 1 442 203
000282 338 104 485 184
000285 299 1 434 193
000288 388 144 445 178
000288 429 149 500 201
000298 206 8 367 162
000302 138 232 217 296
000302 1 8 500 228
000305 175 139 213 177
000308 292 80 469 182
000308 175 148 250 224
000320 91 98 207 247
000321 1 153 261 259
000322 131 203 319 332
000322 1 1 224 332
000323 319 1 500 303
000328 184 73 250 131
000328 291 1 500 146
000328 13 121 103 214
000328 354 68 416 162
000328 12 187 68 232
000328 59 156 96 213
000328 285 127 311 150
000328 184 93 202 107
000331 263 255 311 312
000337 191 69 266 129
000337 294 73 375 150
000337 304 202 374 252
000338 182 88 216 107
000338 133 87 285 134
000338 119 110 230 146
000352 417 71 500 163
000359 112 14 237 97
000367 180 58 246 153
000372 280 34 329 80
000372 274 123 332 158
000372 226 1 316 213
000372 272 115 295 135
000374 117 1 231 62
000382 99 243 138 296
000382 117 459 159 485
000394 105 38 242 157
000406 213 244 292 309
000406 269 151 321 180
000406 207 141 234 170
000406 308 227 370 290
000407 276 36 327 69
000411 53 162 144 216
000411 111 59 175 84
000419 111 40 210 102
000419 49 1 107 34
000419 1 1 52 52
000428 129 1 249 192
000433 358 51 444 130
000435 329 65 428 221
000438 265 1 420 160
000443 305 31 500 343
000446 173 96 282 217
000448 312 30 358 145
000463 209 47 295 98
000463 240 35 295 72
000463 161 1 364 36
000468 140 141 268 288
000470 383 249 428 265
000470 76 335 109 360
000470 117 121 179 171
000476 170 96 289 250
000477 324 106 417 180
000480 341 344 424 375
000480 327 192 403 230
000480 38 174 82 216
000480 9 225 90 251
000480 114 233 153 300
000480 158 180 198 223
000480 193 136 268 220
000480 287 233 326 358
000480 235 128 278 167
000480 304 221 362 242
000482 34 104 57 135
000483 172 41 238 103
000498 146 255 170 283
000499 290 74 340 118
000500 115 34 175 114
000515 371 123 385 140
000515 311 1 459 45
000515 77 298 114 306
000516 336 1 500 268
000516 364 220 406 251
000516 4 98 258 235
000518 1 188 32 218
000518 453 88 500 181
000518 399 1 475 71
000520 208 207 292 278
000520 168 101 334 443
000520 56 1 334 248
000520 215 123 334 186
000523 161 158 281 219
000523 169 119 205 140
000523 129 214 191 297
000524 213 135 265 192
000524 291 157 349 249
000524 174 62 280 141
000524 254 180 285 233
000525 193 266 234 271
000525 209 264 255 268
000526 209 76 256 125
000530 178 107 285 172
000531 51 1 211 236
000535 226 57 261 99
000541 1 102 24 136
000541 54 116 145 210
000541 77 189 178 221
000541 11 51 26 94
000541 1 3 74 199
000541 134 160 232 221
000545 176 155 222 224
000554 342 271 358 287
000554 94 94 168 128
000554 127 82 214 177
000554 148 92 440 224
000554 152 97 165 110
000554 424 1 444 6
000554 379 223 500 375
000554 254 117 359 162
000555 73 91 122 139
000579 321 124 361 183
000579 324 141 430 209
000579 275 111 500 188
000583 159 90 237 156
000583 177 153 241 211
000583 177 1 440 44
000589 212 1 307 172
000591 25 165 55 222
000591 95 141 155 240
000591 174 190 190 212
000591 103 192 136 207
000591 244 167 285 202
000591 256 193 285 228
000591 58 188 75 205
000591 33 44 128 84
000591 53 160 73 211
000597 309 115 365 225
000597 278 101 448 254
000612 1 97 232 348
000613 175 80 237 130
000625 376 209 480 269
000626 1 1 315 105
000626 78 1 268 312
000626 101 107 232 239
000628 291 66 335 92
000628 322 269 345 301
000628 402 327 483 356
000628 88 295 143 318
000628 381 115 432 150
000628 82 269 115 299
000628 170 304 213 321
000628 398 218 420 243
000628 1 196 113 297
000628 1 70 56 107
000628 445 208 500 281
000633 1 1 338 239
000648 305 224 349 276
000648 1 86 52 193
000648 343 116 407 192
000654 367 22 483 90
000677 77 85 273 182
000684 238 1 375 115
000688 90 1 125 47
000688 67 1 109 33
000690 254 91 286 124
000694 105 180 153 211
000694 363 133 434 223
000695 227 38 271 88
000702 405 129 500 177
000702 127 173 168 239
000702 133 190 157 222
000709 84 17 471 197
000717 46 140 110 187
000726 131 72 313 218
000731 91 1 165 79
000733 202 123 316 195
000733 214 76 260 101
000733 147 128 233 177
000733 68 239 142 287
000733 277 281 352 322
000733 231 182 270 214
000733 97 264 187 321
000739 267 32 390 144
000742 217 101 273 159
000742 215 124 285 250
000742 309 246 346 279
000750 67 24 265 226
000752 1 122 54 186
000753 403 84 500 175
000755 300 209 328 228
000755 273 206 297 230
000755 257 210 278 230
000755 46 80 69 193
000760 377 129 394 151
000760 211 181 251 208
000770 167 75 210 152
000777 201 125 234 152
000777 221 110 304 225
000782 70 343 145 419
000786 97 202 133 229
000786 135 219 155 259
000786 177 57 289 216
000786 56 211 88 250
000793 219 109 248 130
000793 377 48 490 119
000793 461 21 483 42
000793 213 56 314 155
000797 202 95 329 184
000799 325 224 500 401
000802 5 144 39 174
000802 1 139 61 201
000805 336 66 375 125
000806 1 298 56 367
000806 179 265 295 342
000810 120 1 500 327
000812 223 84 280 125
000814 117 111 150 170
000816 214 109 274 184
000828 83 129 276 267
000829 467 308 500 346
000829 45 1 99 35
000834 123 268 172 300
000834 288 54 403 97
000834 364 309 394 353
000834 152 274 186 295
000834 108 280 164 323
000834 220 39 351 89
000834 1 13 321 102
000834 143 271 159 299
000834 258 60 319 89
000842 464 91 500 121
000842 347 93 399 157
000842 400 145 424 160
000842 389 142 476 187
000842 70 315 95 337
000842 109 308 123 329
000842 472 104 500 145
000842 90 199 121 226
000842 394 110 438 158
000843 361 4 425 100
000847 99 1 181 273
000848 44 104 108 180
000851 223 66 251 107
000854 238 147 296 180
000855 312 348 327 360
000855 308 325 330 355
000855 332 294 345 326
000855 236 349 352 451
000855 295 350 330 384
000855 54 321 142 403
000855 233 207 273 255
000855 143 344 193 356
000855 134 306 204 356
000855 186 146 209 180
000855 204 341 253 354
000855 96 227 125 279
000855 1 356 98 424
000859 309 18 373 114
000860 244 1 306 80
000865 196 65 288 168
000874 119 1 382 231
000878 155 53 210 91
000878 158 61 219 150
000879 273 133 311 177
000885 186 43 338 104
000885 152 72 226 185
000892 379 194 420 237
000892 380 193 400 218
000892 385 186 482 284
000892 333 180 413 241
000895 99 36 218 168
000898 259 181 348 234
000898 71 279 177 375
000902 98 60 170 122
000902 1 1 320 60
000902 274 86 326 120
000902 322 1 382 52
000902 433 74 500 129
000902 340 125 359 148
000902 199 70 272 113
000902 57 1 117 97
000902 177 31 330 60
000902 272 116 372 209
000902 37 110 80 183
000902 105 36 327 132
000902 99 293 114 307
000902 259 1 500 77
000902 253 36 369 84
000902 310 80 435 155
000903 83 1 152 107
000904 35 176 79 269
000906 144 159 192 184
000911 295 83 413 189
000911 397 158 447 208
000911 165 12 203 31
000911 236 184 386 232
000911 262 49 311 75
000911 477 97 500 139
000911 92 165 250 203
000911 97 178 154 236
000911 369 25 383 60
000911 1 287 109 324
