imagename box_x1 box_y1 box_x2 box_y2
000052 277 188 348 333
000052 20 53 123 149
000073 51 197 375 500
000235 129 169 196 249
000235 1 67 159 358
000307 195 191 257 271
000307 235 203 373 332
000391 199 194 476 458
000484 125 293 180 375
000592 131 154 198 238
000601 195 1 500 172
000628 216 51 326 135
000661 39 117 81 238
000710 99 140 128 248
000711 92 1 263 185
000729 1 115 311 339
000780 191 194 334 307
000854 1 1 277 221
000854 76 74 113 175
000854 1 1 90 285
000865 91 187 225 360
000865 114 207 196 288
000865 285 98 398 339
000865 302 143 399 222
000865 296 236 466 375
000865 179 31 500 375
000867 185 97 255 167
000868 432 208 482 254
000889 154 346 295 496
000917 112 79 204 208
000923 327 11 430 76
000962 366 1 455 145
001079 152 1 263 140
001079 196 62 412 161
001082 152 39 258 95
001082 122 1 181 75
001091 180 295 274 375
001091 219 224 291 352
001112 172 270 251 335
001142 1 204 219 375
001149 49 171 201 328
001154 100 207 187 321
001164 221 95 262 126
001212 386 38 449 128
001408 66 1 305 135
001408 76 275 316 456
001420 428 103 500 317
001430 380 49 440 172
001430 359 138 416 171
001444 279 176 436 315
001444 138 174 228 275
001451 223 148 274 242
001464 227 148 354 203
001479 207 177 270 244
001479 387 72 463 145
001479 324 47 453 223
001580 1 130 69 270
001580 1 217 42 286
001593 337 88 423 272
001729 121 15 205 154
001729 343 115 397 191
001754 1 135 72 208
001777 343 102 398 209
001777 271 132 378 198
001777 291 114 336 153
001898 220 396 281 495
001898 219 211 374 464
001898 186 338 341 424
002015 1 90 170 308
002049 27 86 177 165
002108 243 152 301 219
002116 60 129 137 217
002176 249 1 500 139
002179 366 1 500 375
002192 185 182 267 259
002192 17 222 177 361
002284 137 1 279 115
002305 428 247 500 315
002320 104 100 264 207
002347 280 187 500 329
002361 39 285 179 449
002362 242 46 308 124
002362 128 119 186 199
002362 56 1 355 234
002378 137 113 408 375
002378 123 135 210 248
002427 73 113 252 173
002483 353 45 446 149
002483 100 113 197 230
002542 155 35 209 102
002542 186 273 345 375
002559 41 1 123 221
002559 260 1 323 68
002559 128 18 200 109
002569 139 45 362 362
002594 396 54 482 173
002594 200 117 268 150
002598 1 360 234 436
