imagename box_x1 box_y1 box_x2 box_y2
000107 295 137 334 183
000107 151 118 305 175
000225 125 56 432 225
000233 235 106 500 247
000244 1 248 89 333
000244 109 192 188 228
000416 260 118 417 251
000581 142 198 280 300
000588 243 265 327 334
000654 59 130 221 172
000654 60 163 215 243
000676 1 84 467 259
000820 240 154 345 300
000820 304 25 482 210
000900 107 171 233 255
001191 88 1 295 347
001310 175 223 315 306
001594 139 145 206 219
001598 225 252 297 302
001598 321 228 414 265
001661 203 235 500 375
001714 137 298 230 385
001714 1 1 332 500
001733 228 266 323 320
001734 80 260 135 295
001750 275 63 352 132
001750 168 114 242 160
001872 42 201 209 325
001872 269 226 367 336
002209 1 65 500 441
002263 168 1 417 243
002267 1 194 171 286
002330 47 129 203 226
002452 1 89 66 292
002452 147 18 500 323
002452 319 311 432 363
002593 159 163 299 221
002615 312 246 394 293
002615 164 92 216 140
002618 290 21 446 145
002648 46 107 500 375
002683 133 132 238 277
002683 133 92 500 299
002845 268 177 340 220
002845 221 158 375 230
002873 371 213 446 240
002963 346 185 473 287
002963 119 39 233 87
002963 190 66 458 310
002986 1 50 159 226
003161 329 159 435 292
003170 375 218 462 285
003170 322 224 367 274
003170 357 147 500 375
003382 10 282 168 418
003382 1 149 126 235
003593 317 129 500 239
003681 1 171 114 315
003698 350 239 491 317
003705 201 101 267 164
003714 1 199 275 375
003714 385 349 423 370
003714 427 327 465 350
003714 55 154 225 229
003714 1 1 500 214
003714 9 301 56 340
003874 91 285 164 326
004239 1 95 333 500
004312 176 47 469 281
004423 219 111 500 321
004490 83 208 216 322
004527 245 184 312 296
004768 86 53 500 375
004842 84 166 208 305
004954 1 254 282 453
005001 148 119 309 333
005058 109 265 180 313
005223 308 135 424 253
005223 158 1 428 228
005223 106 59 301 129
005288 210 259 252 289
005319 1 5 343 458
005363 1 120 254 467
005395 395 224 462 271
005469 65 102 161 156
005947 1 26 335 333
005964 1 1 408 333
005964 215 1 360 141
005964 355 100 490 239
006128 410 244 468 273
006136 51 187 156 252
006247 103 1 500 199
006251 70 201 212 288
006534 193 70 325 187
006678 164 104 268 211
006679 126 66 238 265
006833 203 196 251 237
006833 345 222 500 375
006899 390 337 443 428
006899 301 302 496 500
006944 275 125 500 310
007048 122 31 369 225
007165 1 282 375 500
007217 94 140 149 203
007230 256 138 377 294
007230 165 74 265 216
007859 352 190 460 318
007859 183 150 265 261
007859 125 1 364 263
008116 185 169 347 311
008116 253 129 500 280
008150 125 182 225 224
008223 181 1 330 189
008292 96 142 208 208
008292 211 136 365 232
008342 305 189 500 374
008349 113 57 286 265
008592 32 65 66 93
008592 1 206 138 354
008618 67 123 498 331
008871 1 84 277 391
008920 144 161 395 288
008942 22 190 169 262
009227 37 127 165 226
009271 161 101 330 273
009349 1 399 159 500
009417 49 31 145 94
009700 114 90 329 209
009816 230 207 283 272
009842 143 1 500 299
