imagename box_x1 box_y1 box_x2 box_y2
000081 204 97 310 298
000102 1 1 307 341
000140 1 129 119 235
000140 1 1 111 183
000156 1 194 309 375
000193 129 66 389 214
000208 188 54 436 301
000235 1 65 164 358
000235 187 21 500 375
000266 1 1 375 211
000266 1 61 174 349
000352 394 274 500 341
000352 35 203 357 375
000476 348 185 439 260
000503 376 145 491 267
000516 389 163 416 172
000516 1 205 450 375
000530 86 287 332 460
000530 48 205 111 311
000530 1 179 79 288
000530 187 328 325 401
000554 1 144 244 375
000554 1 1 500 304
000555 119 1 276 327
000555 328 108 412 207
000555 260 1 500 375
000592 145 98 425 375
000599 1 106 437 375
000632 281 64 473 311
000660 1 104 134 260
000661 252 210 500 326
000709 31 18 309 350
000752 1 1 412 332
000761 1 1 222 375
000771 1 1 375 456
000797 70 1 261 210
000804 170 279 333 430
000848 142 187 258 334
000854 206 1 448 375
000859 69 131 283 255
000859 1 1 308 333
000868 1 135 242 375
000898 1 1 500 375
000923 194 162 361 270
000943 52 8 102 198
000965 1 47 368 277
000997 1 91 391 375
001018 242 238 402 332
001018 1 161 161 375
001027 45 99 312 375
001072 27 1 500 329
001072 49 119 261 306
001072 252 218 500 320
001127 1 10 500 329
001127 384 19 500 154
001129 186 1 500 270
001129 1 44 216 216
001149 10 1 500 318
001154 1 83 176 375
001170 107 70 317 323
001170 1 191 167 300
001170 130 186 245 302
001174 285 1 500 375
001187 57 219 358 399
001204 158 1 500 375
001214 248 204 500 317
001214 1 1 296 375
001231 293 1 500 375
001263 220 1 500 375
001315 1 50 122 333
001315 1 146 148 223
001315 91 161 300 319
001315 1 195 73 330
001343 1 13 87 308
001362 1 73 176 460
001388 1 232 285 414
001390 136 1 500 222
001402 221 115 438 230
001406 253 1 500 375
001444 230 77 406 375
001457 90 65 350 226
001480 1 1 241 214
001480 213 110 500 376
001480 1 246 178 376
001514 236 19 500 96
001529 160 20 500 375
001543 116 43 500 375
001580 285 1 500 375
001580 420 119 500 375
001580 210 265 357 341
001588 303 1 500 259
001643 1 129 278 333
001650 330 68 500 333
001729 1 1 334 199
001729 108 81 178 168
001729 334 186 376 289
001729 1 132 123 216
001729 341 1 500 298
001729 262 1 384 188
001746 1 1 122 135
001746 94 152 149 269
001797 148 107 213 149
001797 203 85 270 142
001800 158 1 375 375
001809 12 78 429 481
001836 34 76 318 212
001836 192 1 471 319
001878 1 1 315 284
001882 296 1 500 333
001901 1 244 196 487
001920 132 1 500 375
002047 111 220 191 317
002047 306 217 383 286
002055 75 72 161 193
002055 99 49 500 314
002061 1 38 112 127
002061 1 1 500 251
002070 12 34 493 140
002116 208 69 339 242
002116 1 1 352 375
002116 115 60 258 212
002124 289 113 500 333
002176 293 101 500 403
002251 228 1 500 184
002259 70 52 236 198
002268 285 1 500 375
002332 157 75 248 159
002332 196 186 302 274
002332 316 313 394 363
002332 448 4 471 15
002332 337 74 470 210
002332 444 147 500 212
002332 1 1 500 191
002332 185 88 500 375
002362 1 1 351 274
002368 1 84 166 500
002382 134 22 276 99
002425 115 1 375 397
002425 153 192 291 329
002427 1 78 135 240
002427 22 1 320 172
002461 74 241 201 306
002461 1 231 136 375
002461 257 4 431 207
002483 286 63 500 375
002492 279 1 500 375
002492 1 1 245 241
002501 391 1 500 342
002545 149 1 375 269
002564 326 1 500 313
002589 84 13 242 189
002627 1 1 258 493
002636 285 199 406 249
002636 343 71 500 258
002636 1 253 171 375
002670 228 1 375 270
002670 285 211 375 401
002670 19 149 241 439
002691 197 212 337 283
002691 1 224 77 339
002691 1 304 68 375
002855 157 87 475 375
002916 1 1 368 464
002916 198 1 375 240
002916 45 1 147 31
002916 217 100 297 254
002916 155 41 266 152
002931 338 1 500 104
002931 169 148 272 265
002931 1 1 357 375
002931 35 1 257 161
002947 10 229 142 448
002989 1 156 179 281
003004 1 75 407 334
003005 1 1 166 356
003011 208 65 500 375
003024 1 1 251 140
003024 1 80 86 168
003034 29 91 131 286
003054 1 1 483 375
003056 60 232 135 270
003056 135 146 324 375
003063 1 1 203 308
003077 311 141 447 288
003108 1 63 314 209
003120 1 166 255 328
003150 83 1 201 181
003150 194 1 300 102
003169 1 1 339 312
003169 353 1 500 251
003169 1 30 111 150
003186 68 146 271 274
003236 254 1 500 226
003255 42 1 500 284
003255 330 1 500 182
003258 96 56 451 300
003258 182 128 302 209
003279 362 169 500 400
003284 1 204 134 375
003300 330 71 447 280
003395 155 1 341 209
003395 1 1 219 144
003408 64 127 259 375
003444 34 111 142 207
003450 15 1 210 388
003451 236 52 500 333
003453 205 1 500 256
003528 1 1 198 125
003528 301 1 500 154
003528 347 44 407 116
003528 1 63 66 129
003530 190 1 500 375
003530 4 45 204 53
003575 1 81 326 151
003575 95 1 489 332
003575 277 1 392 165
003609 1 1 360 211
003609 87 145 271 202
003648 1 1 188 318
003690 1 1 443 375
003694 305 119 482 321
003699 1 1 242 220
003743 1 1 296 281
003751 1 39 335 334
003845 1 1 462 350
003877 51 17 152 139
003907 235 60 500 310
003907 1 1 346 243
003911 1 97 222 225
003911 385 79 500 208
003953 151 1 375 283
003953 1 234 375 500
003963 270 121 500 375
003986 1 1 199 121
004010 1 1 209 348
004031 1 1 267 375
004060 327 104 500 275
004060 221 1 500 375
004066 209 1 441 243
004105 249 135 500 375
004105 335 263 456 375
004105 1 139 165 356
004105 121 184 208 307
004106 1 167 200 375
004142 1 1 142 204
004164 271 186 389 274
004259 41 91 194 375
004298 271 207 500 375
004298 287 49 500 301
004364 29 19 340 326
004369 1 24 492 358
004499 1 1 276 271
004499 144 1 276 134
004499 54 34 196 90
004540 1 1 333 349
004542 1 12 196 169
004549 405 79 500 280
004562 1 1 283 308
004584 206 85 500 296
004607 409 1 500 160
004708 1 71 73 200
004714 1 1 500 218
004754 1 142 375 500
004837 91 170 378 375
004846 1 1 272 338
004878 1 1 257 375
004903 205 135 428 251
004926 1 1 180 226
004938 54 1 500 375
004990 311 1 500 281
004990 1 1 392 313
005004 1 1 500 174
005055 281 1 500 375
005097 352 1 500 173
005104 1 1 473 333
005135 1 1 500 332
005177 1 88 125 326
005179 1 38 352 192
005185 1 73 196 345
005186 1 52 463 375
005203 51 33 196 198
005212 244 1 500 322
005231 156 1 438 260
005242 1 1 134 281
005263 312 1 500 375
005292 229 74 363 376
005327 143 124 312 223
005336 26 194 429 500
005346 327 1 500 330
005385 1 1 303 214
005385 1 1 85 268
005397 175 123 500 375
005397 6 1 231 165
005433 24 146 186 370
005438 282 145 491 332
005439 151 1 357 174
005478 60 1 334 485
005510 1 1 360 328
005524 149 1 334 202
005524 78 188 241 356
005573 1 65 263 358
005605 1 194 440 375
005641 150 1 391 136
005641 1 1 345 262
005641 1 1 109 156
005641 361 130 444 272
005647 229 15 423 280
005697 151 57 246 263
005697 59 1 500 330
005701 1 184 89 343
005723 13 64 245 391
005743 1 46 258 258
005755 339 1 500 113
005755 302 19 401 98
005755 1 1 386 259
005779 1 102 136 324
005788 1 1 218 146
005788 1 256 359 338
005789 1 1 495 375
005794 1 90 158 375
005864 288 1 431 220
005874 179 73 500 332
005920 203 1 500 375
005920 238 122 357 375
005923 439 57 481 192
005923 321 8 411 233
005923 93 58 157 153
005923 1 45 72 202
005923 221 43 309 152
005984 1 1 102 252
005984 236 1 500 252
005992 1 1 266 311
006020 1 30 338 229
006029 1 111 500 375
006041 172 24 396 196
006045 27 159 165 323
006066 1 1 204 333
006088 95 205 268 313
006088 1 74 266 375
006100 130 18 249 197
006104 1 151 500 333
006104 207 224 278 279
006104 272 125 419 125
006104 1 247 173 333
006104 1 1 79 239
006125 275 1 500 291
006130 1 158 448 375
006158 1 1 500 375
006171 1 1 235 221
006339 1 1 500 375
006411 100 130 500 375
006424 174 133 481 375
006473 1 234 204 307
006473 203 138 329 374
006492 385 155 454 164
006492 307 234 441 375
006509 17 228 282 347
006530 325 23 500 355
006578 1 34 169 216
006578 1 54 333 500
006621 17 278 95 321
006622 315 122 500 254
006638 45 1 500 339
006677 102 302 413 500
006707 291 8 500 275
006707 1 1 254 242
006707 4 206 219 318
006707 117 235 219 365
006727 300 1 500 278
006727 201 261 449 358
006727 319 165 500 356
006827 146 193 375 500
006849 108 1 388 99
006849 1 1 475 334
006852 1 121 321 281
006878 74 101 164 321
006886 390 83 492 210
006919 208 36 310 140
006930 1 58 500 375
006963 130 19 330 247
006963 103 154 500 331
006968 1 1 500 375
007042 124 106 351 350
007064 1 74 123 375
007078 240 69 500 375
007105 198 43 427 253
007114 350 173 431 333
007114 353 48 410 131
007114 293 28 500 238
007162 1 1 248 228
007180 239 122 375 412
007187 1 80 194 317
007193 1 226 87 440
007227 194 1 296 186
007258 216 68 391 129
007263 1 1 482 375
007275 1 74 300 224
007302 227 140 470 209
007385 83 1 428 256
007390 134 1 499 375
007417 1 157 255 269
007417 48 1 117 89
007425 24 1 500 318
007433 1 215 136 375
007443 233 236 294 263
007443 1 82 295 333
007482 1 1 186 271
007491 1 135 290 317
007536 86 1 485 375
007540 290 1 500 355
007639 179 182 375 322
007672 1 1 132 309
007673 183 1 375 292
007704 87 63 374 320
007799 224 91 500 331
007873 1 1 333 375
007900 1 14 247 220
007909 163 9 270 210
007923 171 56 308 235
007935 341 62 500 375
007958 1 1 220 155
007959 16 66 252 500
007959 26 77 334 220
007996 207 1 482 333
007999 144 89 373 375
008042 172 1 500 375
008076 1 1 271 375
008076 97 55 485 296
008083 115 4 271 255
008083 189 1 400 300
008103 259 49 500 347
008151 1 71 291 270
008203 321 151 420 261
008203 41 112 414 357
008260 54 227 500 375
008282 265 90 500 375
008323 94 209 317 375
008341 285 1 409 114
008341 384 1 500 133
008341 110 1 500 333
008365 55 53 498 332
008368 288 1 500 332
008368 14 131 234 287
008368 324 1 423 155
008409 46 91 114 264
008409 83 16 427 375
008452 20 15 485 99
008468 63 55 258 207
008499 1 102 26 112
008499 157 105 169 117
008499 1 97 232 334
008499 151 232 500 334
008533 248 78 500 320
008557 294 59 500 335
008573 63 1 500 418
008587 281 81 400 199
008602 1 1 264 111
008628 132 1 375 298
008665 350 1 453 77
008665 306 12 392 87
008701 1 73 119 324
008713 1 1 260 333
008760 332 75 500 322
008823 110 147 329 285
008849 17 1 500 375
008865 142 14 500 334
008874 235 186 434 375
008879 382 1 500 354
008975 1 1 346 364
008976 8 1 500 375
008983 139 1 209 118
008987 108 132 277 278
009019 1 59 140 242
009019 113 47 500 333
009051 57 98 336 243
009068 119 37 335 293
009129 170 15 436 229
009193 123 25 385 375
009200 1 23 160 252
009242 360 1 500 221
009242 1 1 208 235
009242 271 247 365 269
009252 1 1 299 369
009290 267 49 449 165
009306 213 123 375 268
009306 25 129 375 403
009333 334 26 500 246
009333 1 149 129 262
009333 1 228 500 375
009342 1 1 376 375
009343 81 155 282 269
009343 234 208 377 334
009359 45 76 249 268
009414 18 14 483 221
009414 30 17 159 123
009421 1 1 161 313
009421 272 1 500 150
009421 366 99 500 209
009470 1 37 179 112
009470 345 126 451 184
009479 1 1 375 500
009491 138 240 495 333
009546 156 1 375 500
009565 232 43 500 375
009565 27 1 350 242
009565 245 119 348 172
009567 1 1 411 375
009613 64 191 302 458
009613 160 154 337 322
009655 77 372 127 373
009655 75 366 128 367
009655 49 363 128 369
009655 37 370 74 375
009655 255 1 375 176
009684 127 74 378 375
009684 28 220 177 355
009684 357 113 500 299
009693 224 1 500 172
009737 1 1 413 332
009755 108 98 500 334
009813 1 135 305 375
009878 310 128 500 375
009878 1 56 277 265
009878 296 155 378 318
009878 1 262 85 375
009939 1 1 353 375
009949 23 197 390 375
