imagename box_x1 box_y1 box_x2 box_y2
000024 235 198 369 268
000024 58 38 180 288
000024 384 145 486 226
000024 113 134 254 290
000034 1 1 360 437
000042 262 149 402 292
000042 1 83 500 335
000095 1 1 500 323
000123 1 1 326 330
000198 27 77 481 335
000270 37 87 500 246
000312 102 111 388 335
000439 64 1 500 333
000439 1 159 92 220
000450 1 1 375 435
000482 98 79 380 291
000540 85 91 317 311
000612 1 1 292 168
000635 48 31 500 352
000675 1 105 433 287
000689 1 1 462 285
000712 1 81 401 264
000774 72 1 500 228
000791 1 55 500 332
000818 294 79 500 209
000831 1 34 335 496
000863 109 44 489 317
000899 1 94 500 307
000920 1 46 500 379
000946 160 24 500 375
000966 4 4 342 322
000993 130 42 470 286
001083 152 49 313 186
001112 278 80 477 206
001161 57 232 198 333
001172 1 16 500 187
001172 308 13 462 158
001200 1 42 500 339
001221 1 1 256 500
001323 20 196 500 354
001383 1 130 500 344
001483 103 52 500 333
001565 94 43 500 297
001565 75 105 386 198
001612 96 97 464 304
001653 1 71 362 310
001775 205 1 500 333
001775 225 92 337 205
001775 222 184 355 296
001789 1 76 253 292
001907 1 94 500 276
001930 47 21 238 207
002036 325 132 414 195
002036 237 123 328 173
002054 1 48 500 412
002068 157 1 500 286
002083 172 122 350 220
002114 1 1 343 375
002166 1 91 244 337
002180 1 111 500 375
002214 156 1 375 375
002321 141 218 245 295
002352 1 40 500 174
002423 9 1 500 341
002462 52 81 174 165
002462 1 1 285 258
002477 45 1 290 194
002496 1 72 500 320
002502 89 182 335 500
002525 1 274 323 375
002525 114 64 175 135
002525 1 55 500 375
002565 1 1 483 336
002590 1 290 375 500
002600 101 15 396 334
002741 40 1 500 333
002757 50 48 500 381
002782 8 9 489 287
002835 197 112 406 206
002844 1 1 341 277
002891 52 95 396 360
002906 131 215 281 401
002906 178 202 375 500
002913 1 1 500 312
002975 1 44 500 240
003038 1 116 500 335
003053 176 81 500 242
003053 265 125 407 225
003053 359 171 500 235
003090 1 1 298 277
003135 34 46 500 293
003164 139 1 500 295
003178 1 78 406 284
003244 1 47 395 375
003244 67 183 283 241
003370 36 52 306 332
003417 1 1 250 323
003464 89 86 500 296
003497 128 1 500 277
003499 1 8 497 375
003537 1 41 500 291
003564 1 94 148 282
003587 97 1 500 361
003597 1 139 417 486
003605 1 1 500 386
003628 1 1 500 312
003651 96 94 265 229
003651 1 59 317 360
003685 72 1 500 375
003685 328 112 421 188
003695 131 100 480 254
003695 57 147 282 231
003709 331 189 435 257
003752 254 206 360 260
003818 18 22 500 335
003818 174 75 500 211
003830 118 20 500 344
003848 1 28 500 176
003866 1 91 333 256
003895 1 152 378 254
003926 1 79 339 500
003957 269 102 472 217
004005 201 128 463 261
004102 1 16 404 294
004256 1 21 434 312
004281 218 75 407 375
004315 133 1 335 500
004354 1 1 403 319
004386 217 1 385 50
004386 111 1 235 46
004386 31 27 98 69
004411 1 1 500 375
004411 250 150 468 315
004436 78 94 332 435
004436 129 323 230 386
004437 1 36 500 375
004579 60 129 193 230
004579 102 141 500 249
004579 1 1 500 372
004591 1 124 302 231
004626 1 87 500 243
004627 387 238 500 287
004649 78 1 459 293
004675 267 1 500 178
004689 1 111 252 375
004691 1 29 500 375
004693 119 1 350 257
004746 217 1 500 335
004776 85 61 500 375
004849 48 69 261 290
004849 78 1 336 500
004867 1 102 500 310
004911 27 1 500 315
004951 1 117 421 299
004997 88 33 500 274
005032 1 1 278 500
005077 1 137 324 263
005094 1 101 401 215
005094 342 145 409 172
005136 1 80 500 286
005168 1 53 396 224
005214 187 46 500 381
005244 1 21 500 375
005267 44 8 500 321
005269 1 111 500 364
005355 58 99 500 301
005360 118 55 500 282
005384 32 168 456 375
005384 1 182 152 375
005389 184 44 432 205
005407 90 1 332 334
005440 371 184 475 242
005481 81 1 370 199
005481 1 92 92 152
005544 127 195 326 302
005576 1 20 500 109
005576 399 78 494 100
005576 14 73 142 105
005654 1 1 500 372
005660 177 155 417 446
005680 1 102 500 375
005685 1 90 375 500
005735 1 1 500 375
005815 1 24 500 375
005851 1 1 423 253
005851 208 137 323 234
005853 26 99 322 206
005893 1 1 500 175
005903 261 190 335 265
005903 1 1 270 208
005903 1 129 312 375
005995 1 73 500 281
006001 1 24 500 375
006023 23 48 500 288
006107 1 1 500 327
006135 120 35 303 318
006153 1 48 500 335
006166 45 107 500 419
006201 241 40 500 333
006254 112 105 286 173
006254 10 1 500 238
006275 1 1 483 220
006338 46 133 366 229
006338 82 19 500 307
006338 320 74 456 307
006344 1 1 500 309
006377 105 117 380 279
006400 1 1 500 300
006466 45 21 500 375
006468 198 146 413 247
006499 1 68 500 333
006538 156 96 310 278
006588 25 73 500 333
006635 1 243 174 490
006652 1 59 241 332
006670 1 80 500 455
006694 7 1 500 375
006730 1 117 500 375
006802 110 1 358 350
006803 35 68 400 409
006844 1 1 500 258
006844 71 74 197 193
006844 312 85 500 246
006943 144 76 330 298
007101 134 78 500 305
007123 114 81 500 335
007132 71 81 362 275
007168 64 105 375 407
007222 65 103 500 287
007222 224 96 359 195
007224 67 73 500 247
007276 261 1 500 335
007361 1 48 191 336
007361 1 213 123 316
007361 90 168 185 208
007361 279 308 338 335
007361 252 147 426 256
007361 270 233 500 318
007408 1 49 375 500
007445 13 1 500 334
007467 141 1 500 257
007513 1 9 439 239
007513 313 129 500 333
007555 355 84 500 185
007586 65 109 310 273
007666 1 55 500 375
007696 197 101 372 235
007742 1 82 500 325
007767 1 6 500 333
007776 350 48 500 201
007776 76 48 500 333
007819 1 1 500 208
007883 1 71 242 335
007947 1 93 421 284
007963 1 173 440 301
008033 346 106 500 264
008086 122 1 500 333
008095 1 49 500 213
008173 1 1 338 234
008173 142 119 289 219
008173 408 195 500 233
008220 1 1 376 231
008235 1 35 298 333
008244 1 40 397 328
008263 343 159 500 341
008295 1 1 448 293
008316 343 1 500 333
008335 1 1 388 334
008351 252 189 380 262
008351 132 164 500 311
008364 173 1 500 322
008434 182 48 500 208
008445 1 4 500 333
008492 130 57 482 232
008506 106 50 500 319
008553 28 96 500 335
008621 227 1 500 257
008621 1 57 310 257
008638 1 1 371 333
008691 1 71 500 293
008710 85 92 441 274
008718 264 97 358 139
008718 76 1 380 267
008718 267 137 359 243
008766 49 159 335 500
008790 7 119 250 248
008790 162 152 314 271
008878 1 1 500 375
008988 1 145 500 296
009002 1 36 278 202
009086 1 1 290 281
009187 34 1 500 335
009218 1 139 375 500
009254 1 61 500 333
009289 1 9 419 333
009354 1 151 297 500
009377 1 12 401 338
009389 205 174 500 375
009389 48 17 198 158
009389 149 128 304 239
009389 1 1 121 129
009389 1 1 328 250
009401 1 1 500 365
009433 99 142 380 279
009508 117 96 374 500
009508 159 313 284 395
009508 1 281 233 500
009537 1 1 453 213
009580 1 119 457 269
009588 231 91 500 234
009597 229 107 500 279
009637 1 1 500 248
009695 130 112 500 256
009718 39 171 500 292
009778 1 112 364 281
009790 1 2 500 284
009831 1 1 500 333
009831 272 278 319 306
009855 65 1 500 298
009860 1 92 461 370
009894 142 152 325 231
009894 169 88 500 259
009894 3 47 292 205
009946 257 1 500 304
009946 1 112 143 274
009946 77 150 175 222
009946 229 167 320 330
009946 181 163 253 243
009950 217 82 500 273
