imagename box_x1 box_y1 box_x2 box_y2
000039 94 1 500 375
000041 295 1 500 265
000104 373 1 500 333
000121 97 1 500 304
000162 204 159 393 319
000187 1 48 500 375
000224 34 89 500 375
000257 89 1 205 64
000257 1 1 370 158
000304 66 1 375 482
000349 1 81 96 188
000349 103 34 293 207
000559 152 127 222 227
000559 1 1 500 370
000592 1 33 183 375
000597 362 112 448 250
000598 118 6 467 342
000626 1 48 163 400
000626 78 1 268 312
000632 263 154 463 291
000633 302 1 500 283
000707 240 1 375 500
000707 1 1 375 277
000707 120 91 200 269
000761 1 1 253 375
000843 134 135 266 310
000843 178 192 385 333
000923 383 167 500 302
000948 355 1 500 143
000989 1 85 164 333
000989 1 106 500 272
000989 65 148 138 211
000997 1 91 384 375
000997 300 16 410 223
001010 89 1 354 210
001011 171 1 364 153
001024 2 1 153 190
001027 219 1 500 375
001062 1 1 355 363
001077 9 82 448 333
001149 79 1 172 231
001166 325 101 405 157
001166 266 1 500 226
001175 290 94 404 209
001204 63 30 270 270
001214 63 1 361 258
001234 137 97 260 420
001234 162 93 219 274
001234 1 108 136 389
001234 1 332 71 435
001234 1 283 131 500
001343 35 1 429 375
001430 315 1 500 147
001444 1 15 118 272
001470 1 1 396 338
001529 43 131 174 323
001536 235 1 443 288
001543 1 140 325 375
001588 1 144 102 281
001590 82 1 375 459
001650 1 1 87 200
001678 139 1 500 289
001717 101 1 356 319
001725 1 1 375 473
001752 233 94 375 238
001752 1 1 360 444
001809 10 253 91 403
001810 51 95 500 375
001827 1 18 295 203
001875 1 1 292 375
001898 1 66 139 446
001898 1 306 285 445
001898 148 396 240 500
001920 235 1 500 357
002004 1 217 200 500
002086 95 80 500 268
002117 195 1 306 154
002124 51 138 137 266
002132 100 84 306 322
002174 1 1 145 123
002280 240 174 500 333
002328 1 1 500 375
002334 138 100 500 311
002514 1 209 124 319
002549 244 133 500 375
002561 199 58 360 202
002627 18 176 112 310
002645 1 187 81 294
002767 225 190 335 317
002778 142 77 237 178
002901 159 1 500 375
002901 15 116 257 375
002931 329 1 500 221
002931 275 154 359 344
002931 416 101 500 216
002939 1 109 219 299
002952 296 1 443 128
002952 356 77 500 375
002953 196 33 500 370
002962 1 95 500 334
002989 274 157 373 263
003005 31 1 388 323
003011 208 65 500 375
